"","aging","accession","counts"
"247","1~17","CTTV027_RNAseq7118945_LUNG",0
"248","15","CTTV027_RNAseq7118945_LUNG",0
"249","18~40","CTTV027_RNAseq7118945_LUNG",0
"250","41~54","CTTV027_RNAseq7118945_LUNG",0
"251","55~","CTTV027_RNAseq7118945_LUNG",0
"252","unknown","CTTV027_RNAseq7118945_LUNG",3
"253","<1","CTTV027_RNAseq7118946_LUNG",0
"254","1~17","CTTV027_RNAseq7118946_LUNG",0
"255","15","CTTV027_RNAseq7118946_LUNG",0
"256","18~40","CTTV027_RNAseq7118946_LUNG",0
"257","41~54","CTTV027_RNAseq7118946_LUNG",0
"258","55~","CTTV027_RNAseq7118946_LUNG",0
"259","unknown","CTTV027_RNAseq7118946_LUNG",10
"260","<1","CTTV027_RNAseq7333557_LUNG",0
"261","1~17","CTTV027_RNAseq7333557_LUNG",0
"262","15","CTTV027_RNAseq7333557_LUNG",0
"263","18~40","CTTV027_RNAseq7333557_LUNG",0
"264","41~54","CTTV027_RNAseq7333557_LUNG",0
"265","55~","CTTV027_RNAseq7333557_LUNG",0
"266","unknown","CTTV027_RNAseq7333557_LUNG",22
"267","<1","D088_LUNG",0
"268","1~17","D088_LUNG",0
"269","15","D088_LUNG",0
"270","18~40","D088_LUNG",0
"271","41~54","D088_LUNG",0
"272","55~","D088_LUNG",0
"273","unknown","D088_LUNG",32
"274","<1","D122_LUNG",0
"275","1~17","D122_LUNG",0
"276","15","D122_LUNG",0
"277","18~40","D122_LUNG",0
"278","41~54","D122_LUNG",0
"279","55~","D122_LUNG",0
"280","unknown","D122_LUNG",17
"281","<1","D150_LUNG",0
"282","1~17","D150_LUNG",0
"283","15","D150_LUNG",0
"284","18~40","D150_LUNG",0
"285","41~54","D150_LUNG",0
"286","55~","D150_LUNG",0
"287","unknown","D150_LUNG",45
"288","<1","D175_LUNG",0
"289","1~17","D175_LUNG",0
"290","15","D175_LUNG",0
"291","18~40","D175_LUNG",0
"292","41~54","D175_LUNG",0
"293","55~","D175_LUNG",0
"294","unknown","D175_LUNG",13
"295","<1","D231_LUNG",0
"296","1~17","D231_LUNG",0
"297","15","D231_LUNG",0
"298","18~40","D231_LUNG",0
"299","41~54","D231_LUNG",0
"300","55~","D231_LUNG",0
"301","unknown","D231_LUNG",14
"302","<1","distal_1a_LUNG",0
"303","1~17","distal_1a_LUNG",0
"304","15","distal_1a_LUNG",0
"305","18~40","distal_1a_LUNG",0
"306","41~54","distal_1a_LUNG",0
"307","55~","distal_1a_LUNG",0
