"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"APOPT1",0.000109532365365791,1.46477917331723,0.194,0.051,1,"COPD","APOPT1"
"ZNRD1",0.00011080503450692,1.71067982556056,0.158,0.029,1,"COPD","ZNRD1"
"ALDH3A2",0.000111199382081182,0.679663819679879,0.494,0.277,1,"COPD","ALDH3A2"
"ADI1",0.00011182249320588,1.10603673619005,0.502,0.314,1,"COPD","ADI1"
"SVIP",0.000113195395785245,0.750070348128652,0.403,0.204,1,"COPD","SVIP"
"TWISTNB",0.000113220418992511,1.60044258238796,0.146,0.022,1,"COPD","TWISTNB"
"HNRNPA2B1",0.000113861546092116,0.505794040073699,0.763,0.642,1,"COPD","HNRNPA2B1"
"MUC5B",0.000114641837201346,1.56824348411833,0.34,0.175,1,"COPD","MUC5B"
"ARL6IP5",0.000114805033482551,0.609281181394799,0.526,0.314,1,"COPD","ARL6IP5"
"HNRNPA3",0.000120182904038441,0.760052616340951,0.565,0.38,1,"COPD","HNRNPA3"
"RARS",0.000122587019159594,1.48928728578611,0.182,0.044,1,"COPD","RARS"
"SSFA2",0.000122940328512833,1.4132925144385,0.217,0.066,1,"COPD","SSFA2"
"ING2",0.000123070147609772,1.25306072071551,0.158,0.029,1,"COPD","ING2"
"RDH11",0.000123465023635388,1.23085967644277,0.273,0.102,1,"COPD","RDH11"
"ARF1",0.000123856908127729,0.650730024820775,0.652,0.467,1,"COPD","ARF1"
"APEX1",0.000124096813435449,0.960510783024019,0.407,0.226,1,"COPD","APEX1"
"PDAP1",0.000126501097781845,1.0817249692355,0.383,0.19,1,"COPD","PDAP1"
"CEBPD",0.000126843408441816,0.690448353450115,0.64,0.489,1,"COPD","CEBPD"
"RAN",0.000127167541838944,0.793883551782436,0.573,0.358,1,"COPD","RAN"
"SERP1",0.000127705046759156,0.584317482413089,0.719,0.584,1,"COPD","SERP1"
"DAD1",0.000128337658869551,0.880240395330135,0.545,0.372,1,"COPD","DAD1"
"SUPT16H",0.000129742466292372,1.15555659465238,0.352,0.168,1,"COPD","SUPT16H"
"TSEN15",0.000129886492873618,1.27277590801825,0.162,0.029,1,"COPD","TSEN15"
"BET1",0.000132841054526732,1.52697041173143,0.206,0.058,1,"COPD","BET1"
"SF3B2",0.000134277678541713,0.840584296943887,0.486,0.285,1,"COPD","SF3B2"
"SPRYD7",0.000134924505625717,1.39071621775072,0.17,0.036,1,"COPD","SPRYD7"
"EPS8L2",0.00013644537813532,0.86663497111919,0.407,0.219,1,"COPD","EPS8L2"
"VPS28",0.000137124642798549,0.879963598761039,0.482,0.299,1,"COPD","VPS28"
"CALM1",0.000138456823487739,0.746795126690245,0.664,0.547,1,"COPD","CALM1"
