"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NUBP2",0.00384986866899784,0.261575084477863,0.227,0.156,1,"COPD","NUBP2"
"SLC39A13",0.00386158140531273,0.0900541183118262,0.251,0.17,1,"COPD","SLC39A13"
"CHMP2B",0.00390637285672367,0.177240067909719,0.298,0.213,1,"COPD","CHMP2B"
"XRN2",0.00391150609201264,0.255555667655636,0.434,0.336,1,"COPD","XRN2"
"NADK",0.0039177118622291,0.0802976112439273,0.19,0.123,1,"COPD","NADK"
"MICOS13",0.00391982559749531,0.308315203126841,0.317,0.248,1,"COPD","MICOS13"
"THAP11",0.00392891206594816,0.200742777524247,0.145,0.089,1,"COPD","THAP11"
"TMEM222",0.00393479811382118,0.183555595832813,0.207,0.138,1,"COPD","TMEM222"
"ZFYVE16",0.00396312302262509,0.24456650905063,0.305,0.221,1,"COPD","ZFYVE16"
"FAIM",0.00397881552663893,0.238153602759224,0.123,0.074,1,"COPD","FAIM"
"TMEM129",0.0039907066027385,0.1659938477707,0.141,0.087,1,"COPD","TMEM129"
"ADAMTSL4",0.00400681519141198,0.286731854102697,0.109,0.063,1,"COPD","ADAMTSL4"
"GLCE",0.00401973335129262,0.198211847573479,0.147,0.092,1,"COPD","GLCE"
"POGLUT1",0.00404225350120125,0.196986620791332,0.122,0.074,1,"COPD","POGLUT1"
"SUGP2",0.00404504332015829,0.253413831164653,0.196,0.132,1,"COPD","SUGP2"
"SEC22B",0.00405232574881808,0.152880985275479,0.426,0.324,1,"COPD","SEC22B"
"PWWP3A",0.0040523731085712,0.0747296377936415,0.158,0.1,1,"COPD","PWWP3A"
"LONP1",0.00406072095298859,0.12033911658059,0.171,0.11,1,"COPD","LONP1"
"GPR107",0.00411012706781956,0.187668284253356,0.202,0.135,1,"COPD","GPR107"
"PRTFDC1",0.00413400667147687,0.301669814136665,0.142,0.089,1,"COPD","PRTFDC1"
"CEP104",0.00413689618323803,0.102164214509608,0.118,0.069,1,"COPD","CEP104"
"ATF5",0.00414292884568872,0.259532965938441,0.121,0.072,1,"COPD","ATF5"
"DHRS4",0.00415213756747636,0.129654029783265,0.211,0.141,1,"COPD","DHRS4"
"SCAMP3",0.00415240619286494,0.109469477372934,0.202,0.132,1,"COPD","SCAMP3"
"CDK5RAP2",0.00415479605046361,0.196100115136621,0.235,0.166,1,"COPD","CDK5RAP2"
"USP1",0.0041583007610286,0.190736229100263,0.196,0.132,1,"COPD","USP1"
"NOTCH3",0.00415958709399489,0.297195363948316,0.109,0.063,1,"COPD","NOTCH3"
"SGPP1",0.00416076577169063,0.29415059687949,0.147,0.094,1,"COPD","SGPP1"
"ZNF431",0.00416922235460663,0.349908343805365,0.119,0.072,1,"COPD","ZNF431"
"SLC4A4",0.00417130442117666,0.0767856436881131,0.134,0.081,1,"COPD","SLC4A4"
"GTF2H3",0.00419041744742624,0.0342122039647024,0.13,0.078,1,"COPD","GTF2H3"
"GSS",0.00419394626799417,0.235774472888204,0.158,0.101,1,"COPD","GSS"
"AURKAIP1",0.00420180889060886,0.3084640838807,0.41,0.356,1,"COPD","AURKAIP1"
"RPL29",0.00424269296567476,0.139103433324412,0.877,0.87,1,"COPD","RPL29"
