"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCL3L1",7.34463648405034e-05,0.760864925727524,0.107,0.076,1,"Normal","CCL3L1"
"HERC4",7.34508872231273e-05,0.337393430758292,0.379,0.338,1,"Normal","HERC4"
"GTF2F2",7.35870555402281e-05,0.401508766226528,0.285,0.242,1,"Normal","GTF2F2"
"STX6",7.42402667287484e-05,0.485554946378039,0.234,0.197,1,"Normal","STX6"
"DOP1A",7.4880170346122e-05,0.457976004214107,0.134,0.098,1,"Normal","DOP1A"
"GAB3",7.52859781202456e-05,0.394462441655696,0.24,0.199,1,"Normal","GAB3"
"GGA3",7.5755109489511e-05,0.52214015186271,0.16,0.124,1,"Normal","GGA3"
"NR4A3",7.62344581292384e-05,0.435491517055282,0.242,0.204,1,"Normal","NR4A3"
"ARSG",7.68377758675909e-05,0.238768537549888,0.381,0.332,1,"Normal","ARSG"
"ZNF700",7.73409304912729e-05,0.547663016569212,0.138,0.103,1,"Normal","ZNF700"
"CHRM3",7.75678470440475e-05,0.351545803553074,0.218,0.175,1,"Normal","CHRM3"
"FOXN3",7.85613050628422e-05,0.162384781108358,0.712,0.687,1,"Normal","FOXN3"
"SLC25A33",7.92868197062301e-05,0.362397793547595,0.255,0.213,1,"Normal","SLC25A33"
"COMMD10",8.201826509968e-05,0.347043023723799,0.366,0.328,1,"Normal","COMMD10"
"FBXW7",8.2521505623717e-05,0.221411114095384,0.487,0.444,1,"Normal","FBXW7"
"LARGE1",8.28306698442295e-05,0.412155961022412,0.123,0.088,1,"Normal","LARGE1"
"USP45",8.40317739110472e-05,0.563905258673039,0.113,0.081,1,"Normal","USP45"
"APOE",8.7575659401405e-05,0.10523999499109,0.78,0.769,1,"Normal","APOE"
"UBE2E2",9.05236458650301e-05,0.146166829130379,0.781,0.756,1,"Normal","UBE2E2"
"DOP1B",9.15461128388233e-05,0.409271227402702,0.172,0.133,1,"Normal","DOP1B"
"AAK1",9.23623526919027e-05,0.249503711940159,0.557,0.536,1,"Normal","AAK1"
"GRB2",9.39826285697567e-05,0.143845306895111,0.739,0.726,1,"Normal","GRB2"
"LOC100130950",9.44328843142305e-05,0.327539959331798,0.122,0.087,1,"Normal","LOC100130950"
"CCDC144B",9.52867817131459e-05,0.381557285120128,0.152,0.115,1,"Normal","CCDC144B"
"ST3GAL3",9.65351749641266e-05,0.60377060963073,0.136,0.102,1,"Normal","ST3GAL3"
"HDAC9",9.78317209758901e-05,0.678393588108725,0.136,0.102,1,"Normal","HDAC9"
"HIP1",0.000101012782219806,0.340104678318508,0.316,0.273,1,"Normal","HIP1"
"ACYP2",0.000102097301069488,0.298590674500855,0.421,0.389,1,"Normal","ACYP2"
"EMILIN2",0.00010312432678111,0.215320578810302,0.566,0.544,1,"Normal","EMILIN2"
"SBF2",0.000110022227523412,0.124913984704935,0.804,0.764,1,"Normal","SBF2"
"KYNU",0.00011261745441359,0.124283932753102,0.828,0.815,1,"Normal","KYNU"
"VPS8",0.000113860040695555,0.282482499382405,0.435,0.4,1,"Normal","VPS8"
"RAP1GAP2",0.000114066198355827,0.478773935876089,0.201,0.162,1,"Normal","RAP1GAP2"
"ARRB1",0.000114956064021325,0.318563511790553,0.437,0.404,1,"Normal","ARRB1"
"ZFAND2A",0.000115367587341731,0.540745545630075,0.158,0.124,1,"Normal","ZFAND2A"
"ZXDC",0.000122628317925399,0.403029413054359,0.208,0.17,1,"Normal","ZXDC"
"NEAT1",0.000123413970306242,0.0715984458463401,0.98,0.96,1,"Normal","NEAT1"
"CSF2RA",0.000128170821996501,0.212446161992701,0.534,0.503,1,"Normal","CSF2RA"
"DTX2P1-UPK3BP1-PMS2P11",0.000129559555887333,0.331715817751563,0.184,0.143,1,"Normal","DTX2P1-UPK3BP1-PMS2P11"
"RBFOX1",0.000130447757333679,0.339431020429586,0.165,0.127,1,"Normal","RBFOX1"
"PIAS1",0.000130801370129204,0.134104064217915,0.751,0.727,1,"Normal","PIAS1"
"KATNIP",0.000130980644595803,0.387745627680679,0.173,0.134,1,"Normal","KATNIP"
"FMNL2",0.000131380219863853,0.141640555644021,0.79,0.766,1,"Normal","FMNL2"
"CRY1",0.000133496188591157,0.289060328854383,0.262,0.216,1,"Normal","CRY1"
"DAPK1",0.000134720278144184,0.168325432557752,0.711,0.688,1,"Normal","DAPK1"
"RNASE4",0.00014067470372394,0.52259948279522,0.147,0.113,1,"Normal","RNASE4"
"HERC2P3",0.000141616366968676,0.524126936044754,0.102,0.072,1,"Normal","HERC2P3"
"MECP2",0.00014211033802108,0.19030550190847,0.54,0.502,1,"Normal","MECP2"
"CACUL1",0.000144763074761331,0.267513002937304,0.434,0.4,1,"Normal","CACUL1"
"CSNK1G1",0.000150481471526601,0.351860171770033,0.356,0.318,1,"Normal","CSNK1G1"
"GS1-124K5.11",0.000151608563336898,0.170973705253667,0.5,0.442,1,"Normal","GS1-124K5.11"
"CRTC3",0.000155194116424958,0.310440619557731,0.288,0.248,1,"Normal","CRTC3"
"SDHAP2",0.000159973971981632,0.281246838632358,0.389,0.343,1,"Normal","SDHAP2"
"SASH1",0.000161157456329856,0.293780383875858,0.327,0.285,1,"Normal","SASH1"
"SMG6",0.000163192757678363,0.266510938976735,0.388,0.344,1,"Normal","SMG6"
"TOM1L2",0.000163419899720978,0.444897798583575,0.178,0.141,1,"Normal","TOM1L2"
"SAMD4A",0.000165473197042856,0.403329542071217,0.256,0.216,1,"Normal","SAMD4A"
"AARS1",0.000167387377596197,0.389055275871652,0.113,0.081,1,"Normal","AARS1"
"ALG13",0.000168835222385924,0.387620407198938,0.227,0.19,1,"Normal","ALG13"
"ANKRD36",0.000170869460532633,0.402486320273633,0.218,0.178,1,"Normal","ANKRD36"
"ANKRD17",0.000172868691711285,0.18902960567166,0.63,0.593,1,"Normal","ANKRD17"
"GNG7",0.000176099864511009,0.370523781037994,0.131,0.097,1,"Normal","GNG7"
"BACH1",0.000179307655576773,0.173542638002703,0.671,0.664,1,"Normal","BACH1"
"RAD52",0.000185226501795932,0.467780383312223,0.138,0.104,1,"Normal","RAD52"
"DBT",0.000187169971388769,0.232442431138611,0.314,0.266,1,"Normal","DBT"
"CD83",0.000192813659078755,0.181627539352744,0.661,0.642,1,"Normal","CD83"
"SEPTIN6",0.000195888220610056,0.245081318452855,0.262,0.217,1,"Normal","SEPTIN6"
"KCNIP4",0.000199877312762223,0.360760508163592,0.154,0.117,1,"Normal","KCNIP4"
"SIPA1L3",0.000200046491720527,0.231492331953879,0.266,0.221,1,"Normal","SIPA1L3"
"SPDYE21",0.000204149352206716,0.405631468978343,0.143,0.107,1,"Normal","SPDYE21"
"NBEA",0.000205434930781558,0.388041008596171,0.106,0.075,1,"Normal","NBEA"
"ABHD18",0.000213665834251148,0.383746401449136,0.172,0.137,1,"Normal","ABHD18"
"TTBK2",0.000215417792816287,0.43444934168819,0.19,0.156,1,"Normal","TTBK2"
"HSPE1-MOB4",0.000216268647211964,0.37209812987042,0.21,0.17,1,"Normal","HSPE1-MOB4"
"RLIM",0.000220445619995831,0.351861430590069,0.285,0.246,1,"Normal","RLIM"
"ATXN7L1",0.000223304582756386,0.373183869777922,0.215,0.176,1,"Normal","ATXN7L1"
"ZNF512",0.000225968793249561,0.353547399252569,0.129,0.096,1,"Normal","ZNF512"
"SEPTIN10",0.000226904958561107,0.381447655598954,0.218,0.178,1,"Normal","SEPTIN10"
"SND1",0.000229082534862536,0.188656306289024,0.564,0.536,1,"Normal","SND1"
"TRIM59-IFT80",0.000229942903516527,0.461131491002726,0.109,0.079,1,"Normal","TRIM59-IFT80"
"AP3S2",0.000230650335751455,0.370357758467173,0.258,0.22,1,"Normal","AP3S2"
"DTNB",0.000246356029063366,0.277124574496801,0.268,0.223,1,"Normal","DTNB"
"YTHDC2",0.000246413181266556,0.497838165088696,0.15,0.118,1,"Normal","YTHDC2"
"PTPRE",0.000251580445390593,0.234357410332221,0.458,0.415,1,"Normal","PTPRE"
"KCNAB2",0.00025201488669036,0.188629912539367,0.573,0.551,1,"Normal","KCNAB2"
"LOC441242",0.000255451643496528,0.347662066137183,0.102,0.073,1,"Normal","LOC441242"
"SVIL",0.000255815098661942,0.155099976285767,0.688,0.672,1,"Normal","SVIL"
"ZNF131",0.000257885351946409,0.456394902830328,0.247,0.212,1,"Normal","ZNF131"
"PBX3",0.000263583058239112,0.363474803981791,0.378,0.35,1,"Normal","PBX3"
"CORO7-PAM16",0.000266116902144067,0.355487567347066,0.155,0.119,1,"Normal","CORO7-PAM16"
"KIF16B",0.000270333256860376,0.274446006375114,0.374,0.334,1,"Normal","KIF16B"
"BMS1P1",0.000271245648440776,0.340777284203805,0.169,0.132,1,"Normal","BMS1P1"
"RPRD2",0.00027417199207795,0.369856379857368,0.269,0.23,1,"Normal","RPRD2"
"HSPA4",0.000275899252303622,0.336691663563916,0.316,0.284,1,"Normal","HSPA4"
"MBP",0.000276254832568645,0.27638352029856,0.442,0.411,1,"Normal","MBP"
"ERGIC1",0.000279350419188446,0.198036356592731,0.575,0.547,1,"Normal","ERGIC1"
"FBXW4",0.000279730058522252,0.359494899702546,0.293,0.253,1,"Normal","FBXW4"
