"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MRPS12",0.0022590952572016,0.199394450528993,0.115,0.092,1,"COPD","MRPS12"
"SF3A1",0.00227256696146025,0.253440013626605,0.113,0.089,1,"COPD","SF3A1"
"UBE2G2",0.00230055299298841,0.206422353513403,0.129,0.104,1,"COPD","UBE2G2"
"MAT2B",0.00230454935323284,0.222654571413107,0.126,0.101,1,"COPD","MAT2B"
"TMEM147",0.00233162970324436,0.173775761389347,0.217,0.184,1,"COPD","TMEM147"
"TMEM50A",0.00235137208030833,0.119714130160571,0.351,0.312,1,"COPD","TMEM50A"
"FAM214B",0.00236404658235129,0.11850126537445,0.104,0.081,1,"COPD","FAM214B"
"RPS2P7",0.00237614102433318,0.360005279240611,0.145,0.122,1,"COPD","RPS2P7"
"CYB5A",0.00237727837103134,0.354180221604892,0.109,0.087,1,"COPD","CYB5A"
"TXNL1",0.00238724807510722,0.154298144599927,0.203,0.171,1,"COPD","TXNL1"
"NASP",0.00240844352396315,0.126513774949578,0.187,0.156,1,"COPD","NASP"
"NUP50",0.0024291271331007,0.308213909667028,0.124,0.1,1,"COPD","NUP50"
"MED4",0.00242957311160159,0.169610788797247,0.184,0.153,1,"COPD","MED4"
"LPAR6",0.00243073639226806,0.218040930089784,0.13,0.105,1,"COPD","LPAR6"
"GMFB",0.00244345506906866,0.237407120337058,0.107,0.084,1,"COPD","GMFB"
"FURIN",0.00255278354176588,0.146596756721499,0.237,0.202,1,"COPD","FURIN"
"ORMDL1",0.00257247168258285,0.0826209581035745,0.197,0.164,1,"COPD","ORMDL1"
"SRGN",0.00259279312208658,0.0591898559979875,0.973,0.955,1,"COPD","SRGN"
"BCAP29",0.00264071401391502,0.236480810428118,0.105,0.083,1,"COPD","BCAP29"
"EMC10",0.00267922731062751,0.205778431983154,0.166,0.138,1,"COPD","EMC10"
"GTF2F1",0.00269443724152517,0.186010662098727,0.126,0.101,1,"COPD","GTF2F1"
"BCL10",0.00270032858983637,0.200341232632706,0.141,0.115,1,"COPD","BCL10"
"LIPN",0.00274161053633589,0.197940282212886,0.134,0.108,1,"COPD","LIPN"
"CISD3",0.00276315560184884,0.246785931499087,0.124,0.1,1,"COPD","CISD3"
"LEPROTL1",0.00279332873536288,0.136607551652286,0.277,0.241,1,"COPD","LEPROTL1"
"ACADVL",0.00282957881648715,0.157384954747828,0.249,0.214,1,"COPD","ACADVL"
"YY1",0.00285358756031942,0.0952355553494544,0.29,0.251,1,"COPD","YY1"
"NARF",0.00288604595917116,0.105132404384047,0.113,0.09,1,"COPD","NARF"
"U2AF2",0.00288849892740549,0.156081570776195,0.1,0.078,1,"COPD","U2AF2"
"ICE1",0.0029081037449618,0.128097877114008,0.103,0.08,1,"COPD","ICE1"
"AP2S1",0.00291652986825659,0.118987771846245,0.549,0.498,1,"COPD","AP2S1"
"BOD1L1",0.00293808871614826,0.0835659542755062,0.218,0.185,1,"COPD","BOD1L1"
"RRP7A",0.00299246067217913,0.178094728593097,0.146,0.12,1,"COPD","RRP7A"
"MRPL21",0.00301243429179429,0.284819946442577,0.134,0.11,1,"COPD","MRPL21"
"SEC13",0.0030424149506054,0.219073096597606,0.131,0.107,1,"COPD","SEC13"
"KLHL8",0.00304747485968178,0.196287432257994,0.11,0.087,1,"COPD","KLHL8"
"DR1",0.0030484976543755,0.110721742912432,0.147,0.119,1,"COPD","DR1"
"MTHFR",0.00305556433201916,0.158305334536259,0.159,0.131,1,"COPD","MTHFR"
"SF3A3",0.0030626131764588,0.156641863963133,0.12,0.096,1,"COPD","SF3A3"
"FRG1",0.00307304062618131,0.176134387230033,0.19,0.161,1,"COPD","FRG1"
"CNIH4",0.00307318865078774,0.153118850559277,0.311,0.275,1,"COPD","CNIH4"
"HADHA",0.00308822797839411,0.105003320990124,0.33,0.291,1,"COPD","HADHA"
"CITED2",0.00309853263341401,0.0933821348542405,0.236,0.202,1,"COPD","CITED2"
"RAB11B",0.00310680089837959,0.130325368215646,0.154,0.126,1,"COPD","RAB11B"
"KPNA2",0.00310696901760488,0.248750225740752,0.114,0.091,1,"COPD","KPNA2"
"ALDH3B1",0.00315790301504614,0.179988912494825,0.132,0.107,1,"COPD","ALDH3B1"
"DPEP2",0.00315946902181721,0.182673364575236,0.118,0.095,1,"COPD","DPEP2"
"LSM3",0.00318968657566683,0.182854335628987,0.243,0.209,1,"COPD","LSM3"
"SDF4",0.00320720445366706,0.219097212447163,0.162,0.136,1,"COPD","SDF4"
"TAF13",0.00321351312889916,0.138203956592611,0.141,0.115,1,"COPD","TAF13"
"ATP5MC3",0.00324928156347692,0.107249389822729,0.398,0.354,1,"COPD","ATP5MC3"
"LSM4",0.00326205965032392,0.229383105726552,0.201,0.172,1,"COPD","LSM4"
"DPM3",0.00328421574619833,0.171323330529495,0.147,0.121,1,"COPD","DPM3"
"OXA1L",0.00329062528744997,0.1127101361891,0.2,0.168,1,"COPD","OXA1L"
"DPY30",0.00329072546259936,0.219451030130452,0.136,0.111,1,"COPD","DPY30"
"SURF4",0.00330971616973343,0.193359916516744,0.207,0.177,1,"COPD","SURF4"
"LAPTM4A",0.00332490342345807,0.113949124353872,0.475,0.433,1,"COPD","LAPTM4A"
"EIF4E3",0.00333977905938411,0.17737747922223,0.108,0.085,1,"COPD","EIF4E3"
"PNPLA2",0.00334265699235399,0.12156479266164,0.157,0.129,1,"COPD","PNPLA2"
"COPS3",0.00338430417490594,0.104375699430318,0.118,0.094,1,"COPD","COPS3"
"PPM1F",0.00351595199320304,0.216073193538615,0.137,0.112,1,"COPD","PPM1F"
"PKP2",0.00352629573197838,0.229284131906674,0.182,0.155,1,"COPD","PKP2"
"RAC1",0.00360025610473428,0.0940446477022814,0.724,0.673,1,"COPD","RAC1"
"MFNG",0.00362668516930777,0.226590857268958,0.101,0.08,1,"COPD","MFNG"
