"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1543","FKBP1A",5.3183324230751e-14,3.73820077662494,0.449,0,4.86999699980987e-09,"COPD","FKBP1A","Basal"
"1544","TMEM173",5.3183324230751e-14,3.73626949721242,0.449,0,4.86999699980987e-09,"COPD","TMEM173","Basal"
"1545","FAM96B",5.3183324230751e-14,3.71070558095231,0.449,0,4.86999699980987e-09,"COPD","FAM96B","Basal"
"1546","PYURF",5.3183324230751e-14,3.6260317861042,0.449,0,4.86999699980987e-09,"COPD","PYURF","Basal"
"1547","ARPC1A",5.3183324230751e-14,3.45225664045983,0.449,0,4.86999699980987e-09,"COPD","ARPC1A","Basal"
"1548","UBB",6.88580059306494e-14,2.60527368105038,0.685,0.196,6.30532760306956e-09,"COPD","UBB","Basal"
"1549","MTRNR2L8",8.67742270154252e-14,3.08471901890313,0.607,0.127,7.94591596780248e-09,"COPD","MTRNR2L8","Basal"
"1550","STUB1",1.02147334086652e-13,3.2844351238013,0.461,0.01,9.35363138231475e-09,"COPD","STUB1","Basal"
"1551","ARPC1B",1.27802409230496e-13,4.11652234343673,0.438,0,1.17028666132365e-08,"COPD","ARPC1B","Basal"
"1552","SARS",1.27802409230496e-13,3.77554189836709,0.438,0,1.17028666132365e-08,"COPD","SARS","Basal"
"1553","C19orf70",1.27802409230496e-13,3.76368884967071,0.438,0,1.17028666132365e-08,"COPD","C19orf70","Basal"
"1554","SPTSSA",1.27802409230496e-13,3.69819843920756,0.438,0,1.17028666132365e-08,"COPD","SPTSSA","Basal"
"1555","PHB",1.58088657172588e-13,3.30539487849063,0.461,0.01,1.44761783372939e-08,"COPD","PHB","Basal"
"1556","MCL1",1.65642882851141e-13,3.19619667311881,0.551,0.059,1.5167918782679e-08,"COPD","MCL1","Basal"
"1558","PPIA",1.68436436329244e-13,1.13872617329574,0.955,0.627,1.54237244746689e-08,"COPD","PPIA","Basal"
"1559","DDT",2.20416898519153e-13,2.6570896055123,0.596,0.098,2.01835753973988e-08,"COPD","DDT","Basal"
"1560","H2AFY",3.04468160267494e-13,3.94662209955642,0.427,0,2.78801494356944e-08,"COPD","H2AFY","Basal"
"1561","BLOC1S1",3.04468160267494e-13,3.80223283841848,0.427,0,2.78801494356944e-08,"COPD","BLOC1S1","Basal"
"1562","SELENOH",3.04468160267494e-13,3.64496970195782,0.427,0,2.78801494356944e-08,"COPD","SELENOH","Basal"
"1563","KDELR2",3.04468160267494e-13,3.52629061178019,0.427,0,2.78801494356944e-08,"COPD","KDELR2","Basal"
"1564","ADSS",3.04468160267494e-13,3.32969137334978,0.427,0,2.78801494356944e-08,"COPD","ADSS","Basal"
"1566","POLR2F",4.06960932007602e-13,3.36261950060924,0.449,0.01,3.72654125439361e-08,"COPD","POLR2F","Basal"
"1567","TUBA1B",6.60986563966976e-13,2.41568680692435,0.596,0.088,6.05265396624559e-08,"COPD","TUBA1B","Basal"
"1568","CNPY2",7.19168343313747e-13,3.58145637498395,0.416,0,6.58542451972399e-08,"COPD","CNPY2","Basal"
"1569","SEPT9",7.19168343313747e-13,3.51807692126991,0.416,0,6.58542451972399e-08,"COPD","SEPT9","Basal"
"1571","ARHGDIA",1.33591911527236e-12,3.02229789858912,0.449,0.02,1.2233011338549e-07,"COPD","ARHGDIA","Basal"
"1572","EIF6",1.60502082962861e-12,3.02932958253804,0.483,0.039,1.46971757369092e-07,"COPD","EIF6","Basal"
"1573","NHP2",1.64437158306324e-12,2.9986598931156,0.517,0.069,1.50575105861101e-07,"COPD","NHP2","Basal"
"1574","C6orf48",1.68442548951438e-12,3.68086791261806,0.404,0,1.54242842074832e-07,"COPD","C6orf48","Basal"
"1575","TP53TG1",1.68442548951438e-12,3.65080083160127,0.404,0,1.54242842074832e-07,"COPD","TP53TG1","Basal"
"1577","RAB5C",1.68442548951438e-12,3.40401884466665,0.404,0,1.54242842074832e-07,"COPD","RAB5C","Basal"
"1578","TMEM238",1.68442548951438e-12,3.37678953497995,0.404,0,1.54242842074832e-07,"COPD","TMEM238","Basal"
"1579","SMIM7",1.68442548951438e-12,3.28131671762811,0.404,0,1.54242842074832e-07,"COPD","SMIM7","Basal"
"1580","TRAPPC1",2.08760172552553e-12,3.19041855692788,0.438,0.02,1.91161690006373e-07,"COPD","TRAPPC1","Basal"
"1583","FAM129B",3.91248393220245e-12,3.72657265404332,0.393,0,3.58266153671778e-07,"COPD","FAM129B","Basal"
"1584","SOX2",3.91248393220245e-12,3.72126306402277,0.393,0,3.58266153671778e-07,"COPD","SOX2","Basal"
