"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL7",6.18713102152133e-12,0.315182707001396,0.916,0.863,1.67794993303659e-07,"COPD","RPL7"
"MRPL28",6.32372871508284e-12,0.774311291146062,0.173,0.083,1.71499522753047e-07,"COPD","MRPL28"
"HCFC1R1",6.39755560226198e-12,0.701419478917652,0.154,0.068,1.73501707933345e-07,"COPD","HCFC1R1"
"ATMIN",6.43320952864715e-12,0.514609351115319,0.106,0.035,1.74468642416911e-07,"COPD","ATMIN"
"MRPL58",6.46438251278913e-12,0.348134004775169,0.104,0.035,1.75314053746841e-07,"COPD","MRPL58"
"SMIM29",6.7002947263588e-12,0.583504526492123,0.15,0.065,1.81711992978851e-07,"COPD","SMIM29"
"TPRKB",6.70312003959901e-12,0.632615479313729,0.187,0.092,1.81788615473925e-07,"COPD","TPRKB"
"STOML2",6.7284728589016e-12,0.872822224155919,0.192,0.098,1.82476183933412e-07,"COPD","STOML2"
"AHCYL1",6.82273737479344e-12,0.53755917471091,0.146,0.062,1.85032637604398e-07,"COPD","AHCYL1"
"PRPF31",6.99103352124985e-12,0.724686149550503,0.169,0.08,1.89596829096296e-07,"COPD","PRPF31"
"HSF1",7.00465931914792e-12,0.507185557868073,0.181,0.087,1.89966360735292e-07,"COPD","HSF1"
"AHNAK",7.11662651454237e-12,0.514062584198933,0.476,0.37,1.93002911074389e-07,"COPD","AHNAK"
"FAM136A",7.23886950580816e-12,0.661727606045228,0.159,0.071,1.96318140997517e-07,"COPD","FAM136A"
"SCML1",7.63507133052093e-12,0.537657116440159,0.112,0.04,2.07063134483728e-07,"COPD","SCML1"
"METRNL",7.69121136288155e-12,0.755427839991975,0.256,0.155,2.08585652161348e-07,"COPD","METRNL"
"SNRPD2",7.7016445928025e-12,0.463893428438356,0.593,0.486,2.08868601356804e-07,"COPD","SNRPD2"
"CORO1C",8.27315398145645e-12,0.605372881433915,0.147,0.063,2.24367935977099e-07,"COPD","CORO1C"
"TIMP1",8.49557616961083e-12,0.747449490187492,0.294,0.201,2.30400025719846e-07,"COPD","TIMP1"
"EIF4G1",8.62801789491961e-12,0.650479184677062,0.178,0.086,2.3399184531022e-07,"COPD","EIF4G1"
"RWDD1",8.75806734081977e-12,0.645946690274168,0.372,0.269,2.37518786283032e-07,"COPD","RWDD1"
"TMEM183A",8.87204636240451e-12,0.623495990384738,0.179,0.086,2.4060989734841e-07,"COPD","TMEM183A"
"EMC4",8.90695108208427e-12,0.806883088896619,0.23,0.128,2.41556513346125e-07,"COPD","EMC4"
"RWDD4",9.15434953214653e-12,0.558886833584794,0.15,0.065,2.48265959311814e-07,"COPD","RWDD4"
"TMEM208",9.30981062317961e-12,0.624467958654068,0.181,0.087,2.52482064100631e-07,"COPD","TMEM208"
"ZFYVE21",9.44461485893968e-12,0.492687888477421,0.106,0.036,2.56137954974444e-07,"COPD","ZFYVE21"
"HSBP1",9.5418037467022e-12,0.923373692137031,0.188,0.101,2.58773717610564e-07,"COPD","HSBP1"
"GOLGA2",9.64740448447305e-12,0.463904483294401,0.146,0.062,2.61637609618909e-07,"COPD","GOLGA2"
"TADA3",9.87705582934015e-12,0.692810019734419,0.198,0.101,2.67865754091705e-07,"COPD","TADA3"
"SVBP",1.0687115285626e-11,0.651098261679454,0.132,0.054,2.89834566546177e-07,"COPD","SVBP"
"NUDT16",1.1365556525125e-11,0.46687987798199,0.104,0.035,3.08233892961389e-07,"COPD","NUDT16"
"LRRC58",1.18289576679243e-11,0.464186201565706,0.144,0.061,3.20801331954108e-07,"COPD","LRRC58"
"CHIC2",1.2141593984055e-11,0.695401412824592,0.172,0.083,3.29280028847572e-07,"COPD","CHIC2"
"ZNF146",1.26477644239889e-11,0.585425894085429,0.137,0.057,3.43007371178579e-07,"COPD","ZNF146"
"HSBP1L1",1.28507343441353e-11,0.685144890009478,0.102,0.035,3.4851191541295e-07,"COPD","HSBP1L1"
"FOSB",1.28509832534526e-11,0.685741721667471,0.397,0.312,3.48518665833635e-07,"COPD","FOSB"
"PAFAH1B3",1.29523532421345e-11,0.525146022445,0.12,0.046,3.51267819926688e-07,"COPD","PAFAH1B3"
"GLRX5",1.29552910802742e-11,0.719966589005185,0.187,0.093,3.51347494097037e-07,"COPD","GLRX5"
"SLC25A11",1.32571092057284e-11,0.662438866607462,0.181,0.089,3.59532801659355e-07,"COPD","SLC25A11"
"TMEM14A",1.36276215955991e-11,0.513842848648405,0.137,0.056,3.69581097672647e-07,"COPD","TMEM14A"
"AURKAIP1",1.37012781636073e-11,0.76833750147322,0.306,0.214,3.71578663797029e-07,"COPD","AURKAIP1"
"DPP7",1.47368143335265e-11,0.609574994694908,0.335,0.22,3.9966240472524e-07,"COPD","DPP7"
"RBM15B",1.50615671575433e-11,0.436280515779563,0.107,0.037,4.08469701312573e-07,"COPD","RBM15B"
"HSD17B12",1.51535549078632e-11,0.641570507940392,0.148,0.066,4.10964409101249e-07,"COPD","HSD17B12"
"FAM133B",1.53343335839397e-11,0.52199996373739,0.41,0.29,4.15867126796446e-07,"COPD","FAM133B"
"ATP6V0E2",1.55809993002273e-11,0.675872677082554,0.162,0.075,4.22556701022165e-07,"COPD","ATP6V0E2"
"CDK5RAP3",1.69352628965136e-11,1.17824705363772,0.109,0.041,4.5928432975345e-07,"COPD","CDK5RAP3"
"ERRFI1",1.70135257787797e-11,0.510083417602183,0.113,0.041,4.61406819120506e-07,"COPD","ERRFI1"
"DST",1.73201108654256e-11,0.517909006813241,0.132,0.054,4.69721406670342e-07,"COPD","DST"
"PABPC1",1.76785291102161e-11,0.278839231126692,0.812,0.777,4.79441709469062e-07,"COPD","PABPC1"
"SNHG8",1.77815176627971e-11,0.53334773154565,0.467,0.355,4.82234759015056e-07,"COPD","SNHG8"
"ANAPC13",1.81392489204847e-11,0.577379911053505,0.15,0.066,4.91936430723545e-07,"COPD","ANAPC13"
"SRRM1",1.8429223184803e-11,0.513508630712174,0.488,0.371,4.99800532771857e-07,"COPD","SRRM1"
"IRF2BP2",1.84592446601605e-11,0.631427664552817,0.247,0.142,5.00614715183554e-07,"COPD","IRF2BP2"
"ITM2C",1.85328356953897e-11,0.595465642338646,0.173,0.084,5.02610504058969e-07,"COPD","ITM2C"
"PAICS",1.88003566194409e-11,0.522253858596254,0.126,0.05,5.09865671519237e-07,"COPD","PAICS"
"CD9",1.93898969245712e-11,0.443638580808074,0.213,0.111,5.2585400459437e-07,"COPD","CD9"
"MRPL15",1.99128136763936e-11,0.500682153255036,0.131,0.054,5.40035506903796e-07,"COPD","MRPL15"
"DNAJC15",2.0133083527206e-11,0.669899577570836,0.244,0.141,5.46009225257827e-07,"COPD","DNAJC15"
"TYW3",2.08237372865599e-11,0.445752742754807,0.144,0.062,5.64739755211504e-07,"COPD","TYW3"
"TRPT1",2.09635298397256e-11,0.535957415714861,0.102,0.035,5.68530929253359e-07,"COPD","TRPT1"
"GADD45A",2.09923734954792e-11,0.701022957520716,0.212,0.115,5.69313169197395e-07,"COPD","GADD45A"
"SCOC",2.11219348482369e-11,0.596346443938568,0.148,0.066,5.72826873084184e-07,"COPD","SCOC"
"SSRP1",2.14777747037422e-11,0.728699388186832,0.162,0.076,5.8247724996549e-07,"COPD","SSRP1"
"LSM12",2.19831992993548e-11,0.559301701389772,0.189,0.095,5.96184364998502e-07,"COPD","LSM12"
"DUT",2.25333535366403e-11,0.669068006919011,0.267,0.16,6.11104547913684e-07,"COPD","DUT"
"EVI2A",2.27436787995714e-11,1.30652283716407,0.144,0.07,6.16808569044375e-07,"COPD","EVI2A"
"SLC25A4",2.27821859934049e-11,0.818642749560942,0.126,0.052,6.1785288414114e-07,"COPD","SLC25A4"
"BARD1",2.28835104881744e-11,0.363401325275319,0.116,0.043,6.20600804439289e-07,"COPD","BARD1"
"LYRM2",2.29289138803543e-11,0.491222495367877,0.17,0.081,6.21832144435209e-07,"COPD","LYRM2"
"NDUFB4",2.29430700008201e-11,0.611376739356103,0.384,0.268,6.22216058422241e-07,"COPD","NDUFB4"
"ADAM9",2.51055033747716e-11,0.337428054353389,0.12,0.046,6.80861251523806e-07,"COPD","ADAM9"
"SLC25A3",2.55751899578533e-11,0.485134136832686,0.525,0.414,6.93599151656981e-07,"COPD","SLC25A3"
"ELOF1",2.56644357896513e-11,0.584321851962304,0.197,0.101,6.96019498615344e-07,"COPD","ELOF1"
"SMAGP",2.60168624620785e-11,0.520262296112687,0.13,0.053,7.05577309971568e-07,"COPD","SMAGP"
"ERLEC1",2.64677754378477e-11,0.578240133782547,0.209,0.111,7.1780606987443e-07,"COPD","ERLEC1"
"FUCA2",2.7143224740824e-11,0.540045860618421,0.105,0.037,7.36124254971148e-07,"COPD","FUCA2"
"TTL",2.73132203916544e-11,0.173635185768328,0.106,0.037,7.40734537021669e-07,"COPD","TTL"
"AKAP11",2.86198746961733e-11,0.565564542742725,0.112,0.041,7.76171001760219e-07,"COPD","AKAP11"
"CFAP97",2.91233252979241e-11,0.618344792414905,0.217,0.118,7.89824582079702e-07,"COPD","CFAP97"
"NDUFB11",3.00020461539361e-11,0.503252449250128,0.438,0.313,8.13655491694747e-07,"COPD","NDUFB11"
"FKBP4",3.14683265680482e-11,0.562544585395329,0.122,0.048,8.53421016525466e-07,"COPD","FKBP4"
"FGFR1",3.15110910863074e-11,0.529424864124837,0.131,0.054,8.54580790260656e-07,"COPD","FGFR1"
"GLRX2",3.16806064226024e-11,0.453736104431135,0.115,0.043,8.59178046180977e-07,"COPD","GLRX2"
"ARHGDIB",3.29578502216294e-11,0.272117943468184,0.769,0.726,8.93816898010589e-07,"COPD","ARHGDIB"
"TP53I13",3.34312234070478e-11,0.684978859985116,0.119,0.047,9.06654778799137e-07,"COPD","TP53I13"
"DPYSL2",3.35565859397742e-11,0.4227410737356,0.146,0.064,9.10054610686676e-07,"COPD","DPYSL2"
"TMEM14C",3.3643816904569e-11,0.608583577426148,0.213,0.114,9.12420314451911e-07,"COPD","TMEM14C"
