"","experiment","accession","counts"
"321","P115_Syn21041850_Lung_scRNASEQ","356C_12h",0
"322","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","356C_12h",0
"323","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","356C_12h",0
"324","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","356C_12h",0
"325","P90_COVID19CELLATLAS_Lung_scRNASEQ","356C_12h",0
"326","P91_COVID19CELLATLAS_Lung_scRNASEQ","356C_12h",0
"327","Travaglini_Krasnow_2020","356C_12h",0
"328","Vieira_Teichmann_2019","356C_12h",0
"329","E-MTAB-11278","356C_24h",0
"330","EGAS00001004481","356C_24h",0
"331","ERP114453","356C_24h",27
"332","Fib_Atlas","356C_24h",0
"333","GSE121080","356C_24h",0
"334","GSE122960","356C_24h",0
"335","GSE126030","356C_24h",0
"336","GSE132771","356C_24h",0
"337","GSE132914","356C_24h",0
"338","GSE134355","356C_24h",0
"339","GSE135893","356C_24h",0
"340","GSE136831","356C_24h",0
"341","GSE137026","356C_24h",0
"342","GSE139534","356C_24h",0
"343","GSE139555","356C_24h",0
"344","GSE139819","356C_24h",0
"345","GSE150247","356C_24h",0
"346","GSE157376","356C_24h",0
"347","GSE158942","356C_24h",0
"348","GSE160664","356C_24h",0
"349","GSE161382","356C_24h",0
"350","GSE167295","356C_24h",0
"351","GSE168191","356C_24h",0
"352","GSE169471","356C_24h",0
"353","GSE171524","356C_24h",0
"354","GSE173896","356C_24h",0
"355","GSE181388","356C_24h",0
"356","GSE196303","356C_24h",0
"357","GSE196341","356C_24h",0
"358","GSE227136","356C_24h",0
"359","HCL","356C_24h",0
"360","HTAN_MSK","356C_24h",0
"361","munich_cohort_human","356C_24h",0
"362","P115_Syn21041850_Lung_scRNASEQ","356C_24h",0
"363","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","356C_24h",0
"364","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","356C_24h",0
"365","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","356C_24h",0
"366","P90_COVID19CELLATLAS_Lung_scRNASEQ","356C_24h",0
"367","P91_COVID19CELLATLAS_Lung_scRNASEQ","356C_24h",0
"368","Travaglini_Krasnow_2020","356C_24h",0
"369","Vieira_Teichmann_2019","356C_24h",0
"370","E-MTAB-11278","356C_72h",0
"371","EGAS00001004481","356C_72h",0
"372","ERP114453","356C_72h",29
"373","Fib_Atlas","356C_72h",0
"374","GSE121080","356C_72h",0
"375","GSE122960","356C_72h",0
"376","GSE126030","356C_72h",0
"377","GSE132771","356C_72h",0
"378","GSE132914","356C_72h",0
"379","GSE134355","356C_72h",0
