"","celltype","accession","counts"
"391","Secretory","4951STDY7487593_LUNG",11
"392","Stromal","4951STDY7487593_LUNG",0
"393","Airway Epithelial","9JQK55ng_LUNG",1
"394","AT1","9JQK55ng_LUNG",2
"395","AT2","9JQK55ng_LUNG",13
"396","Basal","9JQK55ng_LUNG",0
"397","Ciliated","9JQK55ng_LUNG",0
"398","DC","9JQK55ng_LUNG",1
"399","Endothelial","9JQK55ng_LUNG",2
"400","Fibroblast","9JQK55ng_LUNG",0
"401","Macrophages","9JQK55ng_LUNG",3
"402","Monocytes","9JQK55ng_LUNG",0
"403","NK+T","9JQK55ng_LUNG",0
"404","Plasma+B","9JQK55ng_LUNG",0
"405","Secretory","9JQK55ng_LUNG",2
"406","Stromal","9JQK55ng_LUNG",0
"407","Airway Epithelial","A9LCTZng_LUNG",2
"408","AT1","A9LCTZng_LUNG",11
"409","AT2","A9LCTZng_LUNG",9
"410","Basal","A9LCTZng_LUNG",0
"411","Ciliated","A9LCTZng_LUNG",0
"412","DC","A9LCTZng_LUNG",3
"413","Endothelial","A9LCTZng_LUNG",1
"414","Fibroblast","A9LCTZng_LUNG",1
"415","Macrophages","A9LCTZng_LUNG",5
"416","Monocytes","A9LCTZng_LUNG",0
"417","NK+T","A9LCTZng_LUNG",0
"418","Plasma+B","A9LCTZng_LUNG",0
"419","Secretory","A9LCTZng_LUNG",3
"420","Stromal","A9LCTZng_LUNG",1
"421","Airway Epithelial","AdultLung_1",0
"422","AT1","AdultLung_1",4
"423","AT2","AdultLung_1",13
"424","Basal","AdultLung_1",1
"425","Ciliated","AdultLung_1",0
"426","DC","AdultLung_1",3
"427","Endothelial","AdultLung_1",6
"428","Fibroblast","AdultLung_1",8
"429","Macrophages","AdultLung_1",3
"430","Monocytes","AdultLung_1",7
"431","NK+T","AdultLung_1",0
"432","Plasma+B","AdultLung_1",5
"433","Secretory","AdultLung_1",3
"434","Stromal","AdultLung_1",5
"435","Airway Epithelial","AdultLung_2",0
"436","AT1","AdultLung_2",0
"437","AT2","AdultLung_2",5
"438","Basal","AdultLung_2",0
"439","Ciliated","AdultLung_2",0
"440","DC","AdultLung_2",2
"441","Endothelial","AdultLung_2",9
"442","Fibroblast","AdultLung_2",7
"443","Macrophages","AdultLung_2",2
"444","Monocytes","AdultLung_2",0
"445","NK+T","AdultLung_2",0
"446","Plasma+B","AdultLung_2",1
"447","Secretory","AdultLung_2",0
"448","Stromal","AdultLung_2",2
"449","Airway Epithelial","AdultLung_3",0
"450","AT1","AdultLung_3",0
"451","AT2","AdultLung_3",13
"452","Basal","AdultLung_3",0
"453","Ciliated","AdultLung_3",0
"454","DC","AdultLung_3",4
"455","Endothelial","AdultLung_3",2
"456","Fibroblast","AdultLung_3",0
"457","Macrophages","AdultLung_3",22
"458","Monocytes","AdultLung_3",0
"459","NK+T","AdultLung_3",5
"460","Plasma+B","AdultLung_3",4
"461","Secretory","AdultLung_3",1
"462","Stromal","AdultLung_3",1
"463","Airway Epithelial","CTTV027_RNAseq6949176_LUNG",2
"464","AT1","CTTV027_RNAseq6949176_LUNG",0
"465","AT2","CTTV027_RNAseq6949176_LUNG",0
"466","Basal","CTTV027_RNAseq6949176_LUNG",4
"467","Ciliated","CTTV027_RNAseq6949176_LUNG",6
"468","DC","CTTV027_RNAseq6949176_LUNG",0
"469","Endothelial","CTTV027_RNAseq6949176_LUNG",0
"470","Fibroblast","CTTV027_RNAseq6949176_LUNG",0
"471","Macrophages","CTTV027_RNAseq6949176_LUNG",0
"472","Monocytes","CTTV027_RNAseq6949176_LUNG",0
"473","NK+T","CTTV027_RNAseq6949176_LUNG",0
