"","celltype","accession","counts"
"1456","Stromal","GSM4058914",0
"1457","Airway Epithelial","GSM4058915",0
"1458","AT1","GSM4058915",0
"1459","AT2","GSM4058915",0
"1460","Basal","GSM4058915",0
"1461","Ciliated","GSM4058915",0
"1462","DC","GSM4058915",6
"1463","Endothelial","GSM4058915",0
"1464","Fibroblast","GSM4058915",0
"1465","Macrophages","GSM4058915",3
"1466","Monocytes","GSM4058915",8
"1467","NK+T","GSM4058915",0
"1468","Plasma+B","GSM4058915",1
"1469","Secretory","GSM4058915",0
"1470","Stromal","GSM4058915",0
"1471","Airway Epithelial","GSM4058916",0
"1472","AT1","GSM4058916",1
"1473","AT2","GSM4058916",0
"1474","Basal","GSM4058916",0
"1475","Ciliated","GSM4058916",1
"1476","DC","GSM4058916",2
"1477","Endothelial","GSM4058916",2
"1478","Fibroblast","GSM4058916",0
"1479","Macrophages","GSM4058916",8
"1480","Monocytes","GSM4058916",5
"1481","NK+T","GSM4058916",2
"1482","Plasma+B","GSM4058916",0
"1483","Secretory","GSM4058916",0
"1484","Stromal","GSM4058916",0
"1485","Airway Epithelial","GSM4058917",0
"1486","AT1","GSM4058917",5
"1487","AT2","GSM4058917",0
"1488","Basal","GSM4058917",0
"1489","Ciliated","GSM4058917",3
"1490","DC","GSM4058917",29
"1491","Endothelial","GSM4058917",0
"1492","Fibroblast","GSM4058917",0
"1493","Macrophages","GSM4058917",56
"1494","Monocytes","GSM4058917",16
"1495","NK+T","GSM4058917",48
"1496","Plasma+B","GSM4058917",9
"1497","Secretory","GSM4058917",0
"1498","Stromal","GSM4058917",0
"1499","Airway Epithelial","GSM4058918",0
"1500","AT1","GSM4058918",1
"1501","AT2","GSM4058918",0
"1502","Basal","GSM4058918",0
"1503","Ciliated","GSM4058918",0
"1504","DC","GSM4058918",4
"1505","Endothelial","GSM4058918",0
"1506","Fibroblast","GSM4058918",0
"1507","Macrophages","GSM4058918",14
"1508","Monocytes","GSM4058918",2
"1509","NK+T","GSM4058918",0
"1510","Plasma+B","GSM4058918",1
"1511","Secretory","GSM4058918",0
"1512","Stromal","GSM4058918",0
"1513","Airway Epithelial","GSM4058919",0
"1514","AT1","GSM4058919",1
"1515","AT2","GSM4058919",0
"1516","Basal","GSM4058919",1
"1517","Ciliated","GSM4058919",0
"1518","DC","GSM4058919",1
"1519","Endothelial","GSM4058919",1
"1520","Fibroblast","GSM4058919",0
"1521","Macrophages","GSM4058919",2
"1522","Monocytes","GSM4058919",10
"1523","NK+T","GSM4058919",2
"1524","Plasma+B","GSM4058919",2
"1525","Secretory","GSM4058919",0
"1526","Stromal","GSM4058919",0
"1527","Airway Epithelial","GSM4058920",0
"1528","AT1","GSM4058920",0
"1529","AT2","GSM4058920",0
"1530","Basal","GSM4058920",0
"1531","Ciliated","GSM4058920",0
"1532","DC","GSM4058920",0
"1533","Endothelial","GSM4058920",0
"1534","Fibroblast","GSM4058920",0
"1535","Macrophages","GSM4058920",4
"1536","Monocytes","GSM4058920",0
"1537","NK+T","GSM4058920",0
"1538","Plasma+B","GSM4058920",1
"1539","Secretory","GSM4058920",0
"1540","Stromal","GSM4058920",0
"1541","Airway Epithelial","GSM4058921",0
"1542","AT1","GSM4058921",0
"1543","AT2","GSM4058921",0
"1544","Basal","GSM4058921",0
"1545","Ciliated","GSM4058921",0
"1546","DC","GSM4058921",9
"1547","Endothelial","GSM4058921",0
"1548","Fibroblast","GSM4058921",0
"1549","Macrophages","GSM4058921",9
"1550","Monocytes","GSM4058921",11
"1551","NK+T","GSM4058921",6
"1552","Plasma+B","GSM4058921",7
"1553","Secretory","GSM4058921",0
"1554","Stromal","GSM4058921",0
"1555","Airway Epithelial","GSM4058922",0
"1556","AT1","GSM4058922",2
"1557","AT2","GSM4058922",3
"1558","Basal","GSM4058922",0
"1559","Ciliated","GSM4058922",0
"1560","DC","GSM4058922",7
"1561","Endothelial","GSM4058922",0
"1562","Fibroblast","GSM4058922",0
"1563","Macrophages","GSM4058922",0
"1564","Monocytes","GSM4058922",4
"1565","NK+T","GSM4058922",3
"1566","Plasma+B","GSM4058922",0
"1567","Secretory","GSM4058922",0
"1568","Stromal","GSM4058922",0
"1569","Airway Epithelial","GSM4058923",0
"1570","AT1","GSM4058923",0
"1571","AT2","GSM4058923",0
"1572","Basal","GSM4058923",0
"1573","Ciliated","GSM4058923",0
"1574","DC","GSM4058923",7
"1575","Endothelial","GSM4058923",0
"1576","Fibroblast","GSM4058923",1
"1577","Macrophages","GSM4058923",0
"1578","Monocytes","GSM4058923",8
"1579","NK+T","GSM4058923",0
"1580","Plasma+B","GSM4058923",0
"1581","Secretory","GSM4058923",0
"1582","Stromal","GSM4058923",0
"1583","Airway Epithelial","GSM4058924",0
"1584","AT1","GSM4058924",0
"1585","AT2","GSM4058924",0
"1586","Basal","GSM4058924",0
"1587","Ciliated","GSM4058924",0
"1588","DC","GSM4058924",5
"1589","Endothelial","GSM4058924",0
"1590","Fibroblast","GSM4058924",0
"1591","Macrophages","GSM4058924",1
"1592","Monocytes","GSM4058924",2
"1593","NK+T","GSM4058924",6
"1594","Plasma+B","GSM4058924",7
"1595","Secretory","GSM4058924",0
"1596","Stromal","GSM4058924",0
"1597","Airway Epithelial","GSM4058925",0
"1598","AT1","GSM4058925",0
"1599","AT2","GSM4058925",0
"1600","Basal","GSM4058925",0
"1601","Ciliated","GSM4058925",0
"1602","DC","GSM4058925",0
"1603","Endothelial","GSM4058925",0
"1604","Fibroblast","GSM4058925",0
"1605","Macrophages","GSM4058925",2
"1606","Monocytes","GSM4058925",1
"1607","NK+T","GSM4058925",0
"1608","Plasma+B","GSM4058925",0
"1609","Secretory","GSM4058925",0
"1610","Stromal","GSM4058925",0
"1611","Airway Epithelial","GSM4058926",0
"1612","AT1","GSM4058926",1
"1613","AT2","GSM4058926",0
"1614","Basal","GSM4058926",0
"1615","Ciliated","GSM4058926",0
"1616","DC","GSM4058926",1
"1617","Endothelial","GSM4058926",1
"1618","Fibroblast","GSM4058926",0
"1619","Macrophages","GSM4058926",0
"1620","Monocytes","GSM4058926",0
"1621","NK+T","GSM4058926",0
"1622","Plasma+B","GSM4058926",0
"1623","Secretory","GSM4058926",0
"1624","Stromal","GSM4058926",0
"1625","Airway Epithelial","GSM4058927",0
"1626","AT1","GSM4058927",0
"1627","AT2","GSM4058927",0
"1628","Basal","GSM4058927",0
"1629","Ciliated","GSM4058927",0
"1630","DC","GSM4058927",4
"1631","Endothelial","GSM4058927",0
"1632","Fibroblast","GSM4058927",0
"1633","Macrophages","GSM4058927",27
"1634","Monocytes","GSM4058927",8
"1635","NK+T","GSM4058927",0
"1636","Plasma+B","GSM4058927",0
"1637","Secretory","GSM4058927",0
"1638","Stromal","GSM4058927",0
"1639","Airway Epithelial","GSM4058928",2
"1640","AT1","GSM4058928",2
"1641","AT2","GSM4058928",0
"1642","Basal","GSM4058928",0
"1643","Ciliated","GSM4058928",1
"1644","DC","GSM4058928",18
"1645","Endothelial","GSM4058928",2
"1646","Fibroblast","GSM4058928",6
"1647","Macrophages","GSM4058928",41
"1648","Monocytes","GSM4058928",6
"1649","NK+T","GSM4058928",5
"1650","Plasma+B","GSM4058928",1
"1651","Secretory","GSM4058928",0
"1652","Stromal","GSM4058928",1
"1653","Airway Epithelial","GSM4058931",0
"1654","AT1","GSM4058931",0
"1655","AT2","GSM4058931",0
"1656","Basal","GSM4058931",0
"1657","Ciliated","GSM4058931",6
"1658","DC","GSM4058931",10
"1659","Endothelial","GSM4058931",0
"1660","Fibroblast","GSM4058931",0
"1661","Macrophages","GSM4058931",43
"1662","Monocytes","GSM4058931",4
"1663","NK+T","GSM4058931",15
"1664","Plasma+B","GSM4058931",2
"1665","Secretory","GSM4058931",0
"1666","Stromal","GSM4058931",0
"1667","Airway Epithelial","GSM4058932",0
"1668","AT1","GSM4058932",1
"1669","AT2","GSM4058932",0
"1670","Basal","GSM4058932",0
"1671","Ciliated","GSM4058932",2
"1672","DC","GSM4058932",5
"1673","Endothelial","GSM4058932",1
"1674","Fibroblast","GSM4058932",1
"1675","Macrophages","GSM4058932",13
"1676","Monocytes","GSM4058932",5
"1677","NK+T","GSM4058932",3
"1678","Plasma+B","GSM4058932",2
"1679","Secretory","GSM4058932",0
"1680","Stromal","GSM4058932",2
"1681","Airway Epithelial","GSM4058933",0
"1682","AT1","GSM4058933",6
"1683","AT2","GSM4058933",0
"1684","Basal","GSM4058933",2
"1685","Ciliated","GSM4058933",11
"1686","DC","GSM4058933",12
"1687","Endothelial","GSM4058933",1
"1688","Fibroblast","GSM4058933",0
"1689","Macrophages","GSM4058933",38
"1690","Monocytes","GSM4058933",41
"1691","NK+T","GSM4058933",60
"1692","Plasma+B","GSM4058933",7
"1693","Secretory","GSM4058933",0
"1694","Stromal","GSM4058933",1
"1695","Airway Epithelial","GSM4058934",0
"1696","AT1","GSM4058934",1
"1697","AT2","GSM4058934",0
"1698","Basal","GSM4058934",0
"1699","Ciliated","GSM4058934",1
"1700","DC","GSM4058934",13
"1701","Endothelial","GSM4058934",0
"1702","Fibroblast","GSM4058934",1
"1703","Macrophages","GSM4058934",18
"1704","Monocytes","GSM4058934",8
"1705","NK+T","GSM4058934",23
"1706","Plasma+B","GSM4058934",6
"1707","Secretory","GSM4058934",1
"1708","Stromal","GSM4058934",0
"1709","Airway Epithelial","GSM4058935",2
"1710","AT1","GSM4058935",3
"1711","AT2","GSM4058935",0
"1712","Basal","GSM4058935",0
"1713","Ciliated","GSM4058935",3
"1714","DC","GSM4058935",22
"1715","Endothelial","GSM4058935",1
"1716","Fibroblast","GSM4058935",3
"1717","Macrophages","GSM4058935",11
"1718","Monocytes","GSM4058935",27
"1719","NK+T","GSM4058935",15
"1720","Plasma+B","GSM4058935",27
"1721","Secretory","GSM4058935",1
"1722","Stromal","GSM4058935",4
"1723","Airway Epithelial","GSM4058936",0
"1724","AT1","GSM4058936",0
"1725","AT2","GSM4058936",0
"1726","Basal","GSM4058936",0
"1727","Ciliated","GSM4058936",0
"1728","DC","GSM4058936",12
"1729","Endothelial","GSM4058936",0
"1730","Fibroblast","GSM4058936",0
"1731","Macrophages","GSM4058936",7
"1732","Monocytes","GSM4058936",3
"1733","NK+T","GSM4058936",3
"1734","Plasma+B","GSM4058936",3
"1735","Secretory","GSM4058936",0
"1736","Stromal","GSM4058936",0
"1737","Airway Epithelial","GSM4058937",3
"1738","AT1","GSM4058937",0
"1739","AT2","GSM4058937",0
"1740","Basal","GSM4058937",0
"1741","Ciliated","GSM4058937",5
"1742","DC","GSM4058937",13
"1743","Endothelial","GSM4058937",0
"1744","Fibroblast","GSM4058937",0
"1745","Macrophages","GSM4058937",13
"1746","Monocytes","GSM4058937",21
"1747","NK+T","GSM4058937",10
"1748","Plasma+B","GSM4058937",0
"1749","Secretory","GSM4058937",0
"1750","Stromal","GSM4058937",0
"1751","Airway Epithelial","GSM4058938",0
"1752","AT1","GSM4058938",1
"1753","AT2","GSM4058938",1
"1754","Basal","GSM4058938",0
"1755","Ciliated","GSM4058938",0
"1756","DC","GSM4058938",7
"1757","Endothelial","GSM4058938",1
"1758","Fibroblast","GSM4058938",2
"1759","Macrophages","GSM4058938",23
"1760","Monocytes","GSM4058938",14
"1761","NK+T","GSM4058938",6
"1762","Plasma+B","GSM4058938",2
"1763","Secretory","GSM4058938",0
"1764","Stromal","GSM4058938",0
"1765","Airway Epithelial","GSM4058939",5
"1766","AT1","GSM4058939",2
"1767","AT2","GSM4058939",3
"1768","Basal","GSM4058939",0
"1769","Ciliated","GSM4058939",6
"1770","DC","GSM4058939",13
"1771","Endothelial","GSM4058939",3
"1772","Fibroblast","GSM4058939",5
"1773","Macrophages","GSM4058939",35
"1774","Monocytes","GSM4058939",7
"1775","NK+T","GSM4058939",13
"1776","Plasma+B","GSM4058939",15
"1777","Secretory","GSM4058939",2
"1778","Stromal","GSM4058939",3
"1779","Airway Epithelial","GSM4058940",7
"1780","AT1","GSM4058940",3
"1781","AT2","GSM4058940",1
"1782","Basal","GSM4058940",1
"1783","Ciliated","GSM4058940",2
"1784","DC","GSM4058940",41
"1785","Endothelial","GSM4058940",4
"1786","Fibroblast","GSM4058940",3
"1787","Macrophages","GSM4058940",7
"1788","Monocytes","GSM4058940",32
"1789","NK+T","GSM4058940",14
"1790","Plasma+B","GSM4058940",30
"1791","Secretory","GSM4058940",0
"1792","Stromal","GSM4058940",4
"1793","Airway Epithelial","GSM4058941",0
"1794","AT1","GSM4058941",0
"1795","AT2","GSM4058941",2
"1796","Basal","GSM4058941",0
"1797","Ciliated","GSM4058941",3
"1798","DC","GSM4058941",15
"1799","Endothelial","GSM4058941",0
"1800","Fibroblast","GSM4058941",0
"1801","Macrophages","GSM4058941",11
"1802","Monocytes","GSM4058941",4
"1803","NK+T","GSM4058941",5
"1804","Plasma+B","GSM4058941",5
"1805","Secretory","GSM4058941",0
"1806","Stromal","GSM4058941",2
"1807","Airway Epithelial","GSM4058942",0
"1808","AT1","GSM4058942",1
"1809","AT2","GSM4058942",1
"1810","Basal","GSM4058942",0
"1811","Ciliated","GSM4058942",0
"1812","DC","GSM4058942",2
"1813","Endothelial","GSM4058942",0
"1814","Fibroblast","GSM4058942",1
"1815","Macrophages","GSM4058942",5
"1816","Monocytes","GSM4058942",4
"1817","NK+T","GSM4058942",1
"1818","Plasma+B","GSM4058942",1
"1819","Secretory","GSM4058942",0
"1820","Stromal","GSM4058942",0
"1821","Airway Epithelial","GSM4058947",0
"1822","AT1","GSM4058947",1
"1823","AT2","GSM4058947",1
"1824","Basal","GSM4058947",1
"1825","Ciliated","GSM4058947",2
"1826","DC","GSM4058947",19
"1827","Endothelial","GSM4058947",6
"1828","Fibroblast","GSM4058947",0
"1829","Macrophages","GSM4058947",15
"1830","Monocytes","GSM4058947",15
"1831","NK+T","GSM4058947",3
"1832","Plasma+B","GSM4058947",2
"1833","Secretory","GSM4058947",1
"1834","Stromal","GSM4058947",0
"1835","Airway Epithelial","GSM4058949",3
"1836","AT1","GSM4058949",1
"1837","AT2","GSM4058949",4
"1838","Basal","GSM4058949",0
"1839","Ciliated","GSM4058949",0
"1840","DC","GSM4058949",19
"1841","Endothelial","GSM4058949",2
"1842","Fibroblast","GSM4058949",5
"1843","Macrophages","GSM4058949",49
"1844","Monocytes","GSM4058949",10
"1845","NK+T","GSM4058949",15
"1846","Plasma+B","GSM4058949",6
"1847","Secretory","GSM4058949",1
"1848","Stromal","GSM4058949",1
"1849","Airway Epithelial","GSM4058953",4
"1850","AT1","GSM4058953",1
"1851","AT2","GSM4058953",0
"1852","Basal","GSM4058953",0
"1853","Ciliated","GSM4058953",1
"1854","DC","GSM4058953",45
"1855","Endothelial","GSM4058953",0
"1856","Fibroblast","GSM4058953",3
"1857","Macrophages","GSM4058953",28
"1858","Monocytes","GSM4058953",45
"1859","NK+T","GSM4058953",49
"1860","Plasma+B","GSM4058953",6
"1861","Secretory","GSM4058953",0
"1862","Stromal","GSM4058953",0
"1863","Airway Epithelial","GSM4058956",2
"1864","AT1","GSM4058956",1
"1865","AT2","GSM4058956",0
"1866","Basal","GSM4058956",2
"1867","Ciliated","GSM4058956",4
"1868","DC","GSM4058956",6
"1869","Endothelial","GSM4058956",1
"1870","Fibroblast","GSM4058956",1
"1871","Macrophages","GSM4058956",1
"1872","Monocytes","GSM4058956",29
"1873","NK+T","GSM4058956",26
"1874","Plasma+B","GSM4058956",6
"1875","Secretory","GSM4058956",1
"1876","Stromal","GSM4058956",1
"1877","Airway Epithelial","GSM4058957",0
"1878","AT1","GSM4058957",1
"1879","AT2","GSM4058957",1
"1880","Basal","GSM4058957",0
"1881","Ciliated","GSM4058957",2
"1882","DC","GSM4058957",25
"1883","Endothelial","GSM4058957",2
"1884","Fibroblast","GSM4058957",1
"1885","Macrophages","GSM4058957",19
"1886","Monocytes","GSM4058957",30
"1887","NK+T","GSM4058957",26
"1888","Plasma+B","GSM4058957",9
"1889","Secretory","GSM4058957",2
"1890","Stromal","GSM4058957",0
"1891","Airway Epithelial","GSM4058962",0
"1892","AT1","GSM4058962",7
"1893","AT2","GSM4058962",2
"1894","Basal","GSM4058962",0
"1895","Ciliated","GSM4058962",1
"1896","DC","GSM4058962",4
"1897","Endothelial","GSM4058962",3
"1898","Fibroblast","GSM4058962",3
"1899","Macrophages","GSM4058962",1
"1900","Monocytes","GSM4058962",16
"1901","NK+T","GSM4058962",41
"1902","Plasma+B","GSM4058962",7
"1903","Secretory","GSM4058962",2
"1904","Stromal","GSM4058962",0
"1905","Airway Epithelial","GSM4058963",0
"1906","AT1","GSM4058963",0
"1907","AT2","GSM4058963",0
"1908","Basal","GSM4058963",0
"1909","Ciliated","GSM4058963",0
"1910","DC","GSM4058963",2
"1911","Endothelial","GSM4058963",2
"1912","Fibroblast","GSM4058963",0
"1913","Macrophages","GSM4058963",0
"1914","Monocytes","GSM4058963",1
"1915","NK+T","GSM4058963",1
"1916","Plasma+B","GSM4058963",1
"1917","Secretory","GSM4058963",0
"1918","Stromal","GSM4058963",0
"1919","Airway Epithelial","GSM4058971",1
"1920","AT1","GSM4058971",0
"1921","AT2","GSM4058971",4
"1922","Basal","GSM4058971",0
"1923","Ciliated","GSM4058971",5
"1924","DC","GSM4058971",15
"1925","Endothelial","GSM4058971",2
"1926","Fibroblast","GSM4058971",4
"1927","Macrophages","GSM4058971",32
"1928","Monocytes","GSM4058971",16
"1929","NK+T","GSM4058971",30
"1930","Plasma+B","GSM4058971",3
"1931","Secretory","GSM4058971",1
"1932","Stromal","GSM4058971",1
"1933","Airway Epithelial","GSM4058973",0
"1934","AT1","GSM4058973",0
"1935","AT2","GSM4058973",0
"1936","Basal","GSM4058973",0
"1937","Ciliated","GSM4058973",1
"1938","DC","GSM4058973",14
"1939","Endothelial","GSM4058973",1
"1940","Fibroblast","GSM4058973",0
"1941","Macrophages","GSM4058973",7
"1942","Monocytes","GSM4058973",10
"1943","NK+T","GSM4058973",2
"1944","Plasma+B","GSM4058973",1
"1945","Secretory","GSM4058973",1
"1946","Stromal","GSM4058973",0
"1947","Airway Epithelial","GSM4058975",1
"1948","AT1","GSM4058975",3
"1949","AT2","GSM4058975",18
"1950","Basal","GSM4058975",0
"1951","Ciliated","GSM4058975",2
"1952","DC","GSM4058975",21
"1953","Endothelial","GSM4058975",1
"1954","Fibroblast","GSM4058975",0
"1955","Macrophages","GSM4058975",33
"1956","Monocytes","GSM4058975",12
"1957","NK+T","GSM4058975",8
"1958","Plasma+B","GSM4058975",2
"1959","Secretory","GSM4058975",2
"1960","Stromal","GSM4058975",0
"1961","Airway Epithelial","GSM4058976",0
"1962","AT1","GSM4058976",0
"1963","AT2","GSM4058976",0
"1964","Basal","GSM4058976",0
"1965","Ciliated","GSM4058976",1
"1966","DC","GSM4058976",3
"1967","Endothelial","GSM4058976",3
"1968","Fibroblast","GSM4058976",0
"1969","Macrophages","GSM4058976",28
"1970","Monocytes","GSM4058976",3
"1971","NK+T","GSM4058976",5
"1972","Plasma+B","GSM4058976",2
"1973","Secretory","GSM4058976",0
"1974","Stromal","GSM4058976",0
"1975","Airway Epithelial","GSM4058977",1
"1976","AT1","GSM4058977",6
"1977","AT2","GSM4058977",0
"1978","Basal","GSM4058977",3
"1979","Ciliated","GSM4058977",2
"1980","DC","GSM4058977",8
"1981","Endothelial","GSM4058977",0
"1982","Fibroblast","GSM4058977",0
"1983","Macrophages","GSM4058977",148
"1984","Monocytes","GSM4058977",14
"1985","NK+T","GSM4058977",17
"1986","Plasma+B","GSM4058977",6
"1987","Secretory","GSM4058977",1
"1988","Stromal","GSM4058977",0
"1989","Airway Epithelial","GSM4065876",0
"1990","AT1","GSM4065876",0
"1991","AT2","GSM4065876",0
"1992","Basal","GSM4065876",1
"1993","Ciliated","GSM4065876",0
"1994","DC","GSM4065876",0
"1995","Endothelial","GSM4065876",0
"1996","Fibroblast","GSM4065876",1
"1997","Macrophages","GSM4065876",6
"1998","Monocytes","GSM4065876",0
"1999","NK+T","GSM4065876",0
"2000","Plasma+B","GSM4065876",0
"2001","Secretory","GSM4065876",0
"2002","Stromal","GSM4065876",0
"2003","Airway Epithelial","GSM4065877",0
"2004","AT1","GSM4065877",0
"2005","AT2","GSM4065877",0
"2006","Basal","GSM4065877",0
"2007","Ciliated","GSM4065877",0
"2008","DC","GSM4065877",0
"2009","Endothelial","GSM4065877",0
"2010","Fibroblast","GSM4065877",3
"2011","Macrophages","GSM4065877",5
"2012","Monocytes","GSM4065877",0
"2013","NK+T","GSM4065877",0
"2014","Plasma+B","GSM4065877",0
"2015","Secretory","GSM4065877",0
"2016","Stromal","GSM4065877",1
"2017","Airway Epithelial","GSM4065878",0
"2018","AT1","GSM4065878",0
"2019","AT2","GSM4065878",0
"2020","Basal","GSM4065878",2
"2021","Ciliated","GSM4065878",0
"2022","DC","GSM4065878",0
"2023","Endothelial","GSM4065878",0
"2024","Fibroblast","GSM4065878",7
"2025","Macrophages","GSM4065878",3
"2026","Monocytes","GSM4065878",0
"2027","NK+T","GSM4065878",0
"2028","Plasma+B","GSM4065878",0
"2029","Secretory","GSM4065878",1
"2030","Stromal","GSM4065878",17
"2031","Airway Epithelial","GSM4065879",0
"2032","AT1","GSM4065879",0
"2033","AT2","GSM4065879",0
"2034","Basal","GSM4065879",1
"2035","Ciliated","GSM4065879",0
"2036","DC","GSM4065879",0
"2037","Endothelial","GSM4065879",0
"2038","Fibroblast","GSM4065879",14
"2039","Macrophages","GSM4065879",1
"2040","Monocytes","GSM4065879",0
"2041","NK+T","GSM4065879",0
"2042","Plasma+B","GSM4065879",0
"2043","Secretory","GSM4065879",0
"2044","Stromal","GSM4065879",6
"2045","Airway Epithelial","GSM4143262",0
"2046","AT1","GSM4143262",7
"2047","AT2","GSM4143262",26
"2048","Basal","GSM4143262",1
"2049","Ciliated","GSM4143262",21
"2050","DC","GSM4143262",0
"2051","Endothelial","GSM4143262",36
"2052","Fibroblast","GSM4143262",3
"2053","Macrophages","GSM4143262",15
"2054","Monocytes","GSM4143262",0
"2055","NK+T","GSM4143262",1
"2056","Plasma+B","GSM4143262",0
"2057","Secretory","GSM4143262",26
"2058","Stromal","GSM4143262",6
"2059","Airway Epithelial","GSM4143263",0
"2060","AT1","GSM4143263",7
"2061","AT2","GSM4143263",21
"2062","Basal","GSM4143263",1
"2063","Ciliated","GSM4143263",15
"2064","DC","GSM4143263",0
"2065","Endothelial","GSM4143263",33
"2066","Fibroblast","GSM4143263",2
"2067","Macrophages","GSM4143263",14
"2068","Monocytes","GSM4143263",0
"2069","NK+T","GSM4143263",0
"2070","Plasma+B","GSM4143263",0
"2071","Secretory","GSM4143263",22
"2072","Stromal","GSM4143263",8
"2073","Airway Epithelial","GSM4143656",0
"2074","AT1","GSM4143656",0
"2075","AT2","GSM4143656",0
"2076","Basal","GSM4143656",0
"2077","Ciliated","GSM4143656",0
"2078","DC","GSM4143656",0
"2079","Endothelial","GSM4143656",0
"2080","Fibroblast","GSM4143656",0
"2081","Macrophages","GSM4143656",0
"2082","Monocytes","GSM4143656",0
"2083","NK+T","GSM4143656",11
"2084","Plasma+B","GSM4143656",0
"2085","Secretory","GSM4143656",0
"2086","Stromal","GSM4143656",0
"2087","Airway Epithelial","GSM4143658",0
"2088","AT1","GSM4143658",0
"2089","AT2","GSM4143658",0
"2090","Basal","GSM4143658",0
"2091","Ciliated","GSM4143658",0
"2092","DC","GSM4143658",0
"2093","Endothelial","GSM4143658",0
"2094","Fibroblast","GSM4143658",0
"2095","Macrophages","GSM4143658",0
"2096","Monocytes","GSM4143658",0
"2097","NK+T","GSM4143658",13
"2098","Plasma+B","GSM4143658",0
"2099","Secretory","GSM4143658",0
"2100","Stromal","GSM4143658",0
"2101","Airway Epithelial","GSM4143660",0
"2102","AT1","GSM4143660",0
"2103","AT2","GSM4143660",0
"2104","Basal","GSM4143660",0
"2105","Ciliated","GSM4143660",0
"2106","DC","GSM4143660",0
"2107","Endothelial","GSM4143660",0
"2108","Fibroblast","GSM4143660",0
"2109","Macrophages","GSM4143660",0
"2110","Monocytes","GSM4143660",0
"2111","NK+T","GSM4143660",57
"2112","Plasma+B","GSM4143660",0
"2113","Secretory","GSM4143660",0
"2114","Stromal","GSM4143660",0
"2115","Airway Epithelial","GSM4143662",0
"2116","AT1","GSM4143662",0
"2117","AT2","GSM4143662",0
"2118","Basal","GSM4143662",0
"2119","Ciliated","GSM4143662",0
"2120","DC","GSM4143662",0
"2121","Endothelial","GSM4143662",0
"2122","Fibroblast","GSM4143662",0
"2123","Macrophages","GSM4143662",0
"2124","Monocytes","GSM4143662",0
"2125","NK+T","GSM4143662",2
"2126","Plasma+B","GSM4143662",0
"2127","Secretory","GSM4143662",0
"2128","Stromal","GSM4143662",0
"2129","Airway Epithelial","GSM4143664",0
"2130","AT1","GSM4143664",0
"2131","AT2","GSM4143664",0
"2132","Basal","GSM4143664",0
"2133","Ciliated","GSM4143664",0
"2134","DC","GSM4143664",3
"2135","Endothelial","GSM4143664",0
"2136","Fibroblast","GSM4143664",0
"2137","Macrophages","GSM4143664",0
"2138","Monocytes","GSM4143664",7
"2139","NK+T","GSM4143664",30
"2140","Plasma+B","GSM4143664",6
"2141","Secretory","GSM4143664",0
"2142","Stromal","GSM4143664",0
"2143","Airway Epithelial","GSM4143666",0
"2144","AT1","GSM4143666",0
"2145","AT2","GSM4143666",0
"2146","Basal","GSM4143666",0
"2147","Ciliated","GSM4143666",0
"2148","DC","GSM4143666",2
"2149","Endothelial","GSM4143666",0
"2150","Fibroblast","GSM4143666",0
"2151","Macrophages","GSM4143666",0
"2152","Monocytes","GSM4143666",11
"2153","NK+T","GSM4143666",42
"2154","Plasma+B","GSM4143666",0
"2155","Secretory","GSM4143666",0
"2156","Stromal","GSM4143666",0
"2157","Airway Epithelial","GSM4321402",0
"2158","AT1","GSM4321402",0
"2159","AT2","GSM4321402",0
"2160","Basal","GSM4321402",1
"2161","Ciliated","GSM4321402",0
"2162","DC","GSM4321402",0
"2163","Endothelial","GSM4321402",0
"2164","Fibroblast","GSM4321402",2
"2165","Macrophages","GSM4321402",21
"2166","Monocytes","GSM4321402",0
"2167","NK+T","GSM4321402",0
"2168","Plasma+B","GSM4321402",0
"2169","Secretory","GSM4321402",0
"2170","Stromal","GSM4321402",1
"2171","Airway Epithelial","GSM4321403",0
"2172","AT1","GSM4321403",0
"2173","AT2","GSM4321403",0
"2174","Basal","GSM4321403",2
"2175","Ciliated","GSM4321403",0
"2176","DC","GSM4321403",0
"2177","Endothelial","GSM4321403",0
"2178","Fibroblast","GSM4321403",3
"2179","Macrophages","GSM4321403",10
"2180","Monocytes","GSM4321403",0
"2181","NK+T","GSM4321403",0
"2182","Plasma+B","GSM4321403",0
"2183","Secretory","GSM4321403",0
"2184","Stromal","GSM4321403",0
"2185","Airway Epithelial","GSM4321404",0
"2186","AT1","GSM4321404",0
"2187","AT2","GSM4321404",0
"2188","Basal","GSM4321404",2
"2189","Ciliated","GSM4321404",0
"2190","DC","GSM4321404",0
"2191","Endothelial","GSM4321404",0
"2192","Fibroblast","GSM4321404",5
"2193","Macrophages","GSM4321404",12
"2194","Monocytes","GSM4321404",0
"2195","NK+T","GSM4321404",0
"2196","Plasma+B","GSM4321404",0
"2197","Secretory","GSM4321404",0
"2198","Stromal","GSM4321404",7
"2199","Airway Epithelial","GSM4321405",0
"2200","AT1","GSM4321405",0
"2201","AT2","GSM4321405",0
"2202","Basal","GSM4321405",2
"2203","Ciliated","GSM4321405",0
"2204","DC","GSM4321405",0
"2205","Endothelial","GSM4321405",0
"2206","Fibroblast","GSM4321405",1
"2207","Macrophages","GSM4321405",5
"2208","Monocytes","GSM4321405",0
"2209","NK+T","GSM4321405",0
"2210","Plasma+B","GSM4321405",0
"2211","Secretory","GSM4321405",0
