"","param","celltype","counts"
"191","GSM5133606","Airway Epithelial",0
"192","GSM5206782","Airway Epithelial",0
"193","GSM5206783","Airway Epithelial",0
"194","GSM5206784","Airway Epithelial",0
"195","GSM5226574","Airway Epithelial",0
"196","GSM5226575","Airway Epithelial",0
"197","GSM5226576","Airway Epithelial",0
"198","GSM5226577","Airway Epithelial",0
"199","GSM5226578","Airway Epithelial",0
"200","GSM5226579","Airway Epithelial",0
"201","GSM5226580","Airway Epithelial",0
"202","GSM5282537","Airway Epithelial",0
"203","GSM5282538","Airway Epithelial",0
"204","GSM5282539","Airway Epithelial",0
"205","GSM5282540","Airway Epithelial",0
"206","GSM5282541","Airway Epithelial",0
"207","GSM5282542","Airway Epithelial",0
"208","GSM5282543","Airway Epithelial",0
"209","GSM5282544","Airway Epithelial",0
"210","GSM5282545","Airway Epithelial",0
"211","GSM5282546","Airway Epithelial",0
"212","GSM5282547","Airway Epithelial",0
"213","GSM5282548","Airway Epithelial",0
"214","GSM5501481","Airway Epithelial",0
"215","GSM5501482","Airway Epithelial",0
"216","GSM5870246","Airway Epithelial",0
"217","GSM5870247","Airway Epithelial",0
"218","GSM5870248","Airway Epithelial",0
"219","GSM5870249","Airway Epithelial",0
"220","GSM5870251","Airway Epithelial",0
"221","GSM5870252","Airway Epithelial",0
"222","GSM5870253","Airway Epithelial",0
"223","GSM5870254","Airway Epithelial",0
"224","GSM5870255","Airway Epithelial",0
"225","GSM5870257","Airway Epithelial",0
"226","GSM5873135","Airway Epithelial",4
"227","GSM5873136","Airway Epithelial",1
"228","GSM5873137","Airway Epithelial",11
"229","GSM5873138","Airway Epithelial",11
"230","GSM5873139","Airway Epithelial",0
"231","GSM5873140","Airway Epithelial",2
"232","GSM5873141","Airway Epithelial",3
"233","GSM5873142","Airway Epithelial",62
"234","GSM5873143","Airway Epithelial",20
"235","GSM5873144","Airway Epithelial",0
"236","GSM5873145","Airway Epithelial",6
"237","GSM5873146","Airway Epithelial",0
"238","GSM7103257","Airway Epithelial",0
"239","GSM7103264","Airway Epithelial",0
"240","GSM7103271","Airway Epithelial",0
