"","groups","accession","counts"
"333","COPD","GSM4816089",141
"334","Normal","GSM4816089",0
"335","COPD","GSM4876617",0
"336","Normal","GSM4876617",15
"337","COPD","GSM4876620",0
"338","Normal","GSM4876620",13
"339","COPD","GSM5100998",152
"340","Normal","GSM5100998",0
"341","COPD","GSM5100999",82
"342","Normal","GSM5100999",0
"343","COPD","GSM5101000",78
"344","Normal","GSM5101000",0
"345","COPD","GSM5133588",339
"346","Normal","GSM5133588",0
"347","COPD","GSM5133589",328
"348","Normal","GSM5133589",0
"349","COPD","GSM5133590",178
"350","Normal","GSM5133590",0
"351","COPD","GSM5133591",153
"352","Normal","GSM5133591",0
"353","COPD","GSM5133592",153
"354","Normal","GSM5133592",0
"355","COPD","GSM5133593",95
"356","Normal","GSM5133593",0
"357","COPD","GSM5133594",221
"358","Normal","GSM5133594",0
"359","COPD","GSM5133595",0
"360","Normal","GSM5133595",105
"361","COPD","GSM5133596",0
"362","Normal","GSM5133596",68
"363","COPD","GSM5133597",0
"364","Normal","GSM5133597",67
"365","COPD","GSM5133598",0
"366","Normal","GSM5133598",63
"367","COPD","GSM5133599",0
"368","Normal","GSM5133599",105
"369","COPD","GSM5133600",0
"370","Normal","GSM5133600",93
"371","COPD","GSM5133601",0
"372","Normal","GSM5133601",71
"373","COPD","GSM5133602",0
"374","Normal","GSM5133602",83
"375","COPD","GSM5133603",0
"376","Normal","GSM5133603",71
"377","COPD","GSM5133604",0
"378","Normal","GSM5133604",123
"379","COPD","GSM5133605",0
"380","Normal","GSM5133605",87
"381","COPD","GSM5133606",0
"382","Normal","GSM5133606",117
"383","COPD","GSM5206782",0
"384","Normal","GSM5206782",8
"385","COPD","GSM5206783",0
"386","Normal","GSM5206783",7
"387","COPD","GSM5206784",0
"388","Normal","GSM5206784",11
"389","COPD","GSM5226574",0
"390","Normal","GSM5226574",59
"391","COPD","GSM5226575",0
"392","Normal","GSM5226575",40
"393","COPD","GSM5226576",0
"394","Normal","GSM5226576",84
"395","COPD","GSM5226577",0
"396","Normal","GSM5226577",31
"397","COPD","GSM5226578",0
"398","Normal","GSM5226578",39
"399","COPD","GSM5226579",0
"400","Normal","GSM5226579",17
"401","COPD","GSM5226580",0
"402","Normal","GSM5226580",36
"403","COPD","GSM5282537",424
"404","Normal","GSM5282537",0
"405","COPD","GSM5282538",79
"406","Normal","GSM5282538",0
"407","COPD","GSM5282539",104
"408","Normal","GSM5282539",0
"409","COPD","GSM5282540",85
"410","Normal","GSM5282540",0
"411","COPD","GSM5282541",134
"412","Normal","GSM5282541",0
"413","COPD","GSM5282542",42
"414","Normal","GSM5282542",0
"415","COPD","GSM5282543",7
"416","Normal","GSM5282543",0
"417","COPD","GSM5282544",125
"418","Normal","GSM5282544",0
"419","COPD","GSM5282545",202
"420","Normal","GSM5282545",0
"421","COPD","GSM5282546",0
"422","Normal","GSM5282546",49
"423","COPD","GSM5282547",0
"424","Normal","GSM5282547",67
"425","COPD","GSM5282548",0
"426","Normal","GSM5282548",69
"427","COPD","GSM5501481",0
"428","Normal","GSM5501481",119
"429","COPD","GSM5501482",0
"430","Normal","GSM5501482",22
"431","COPD","GSM5870246",0
"432","Normal","GSM5870246",81
"433","COPD","GSM5870247",0
"434","Normal","GSM5870247",11
"435","COPD","GSM5870248",0
"436","Normal","GSM5870248",104
"437","COPD","GSM5870249",0
"438","Normal","GSM5870249",21
"439","COPD","GSM5870251",0
"440","Normal","GSM5870251",38
"441","COPD","GSM5870252",0
"442","Normal","GSM5870252",18
"443","COPD","GSM5870253",0
"444","Normal","GSM5870253",48
"445","COPD","GSM5870254",0
"446","Normal","GSM5870254",24
"447","COPD","GSM5870255",0
"448","Normal","GSM5870255",45
"449","COPD","GSM5870257",0
"450","Normal","GSM5870257",25
"451","COPD","GSM5873135",272
"452","Normal","GSM5873135",0
"453","COPD","GSM5873136",145
"454","Normal","GSM5873136",0
"455","COPD","GSM5873137",418
"456","Normal","GSM5873137",0
"457","COPD","GSM5873138",60
"458","Normal","GSM5873138",0
"459","COPD","GSM5873139",119
"460","Normal","GSM5873139",0
"461","COPD","GSM5873140",497
"462","Normal","GSM5873140",0
"463","COPD","GSM5873141",234
"464","Normal","GSM5873141",0
"465","COPD","GSM5873142",2460
"466","Normal","GSM5873142",0
"467","COPD","GSM5873143",280
"468","Normal","GSM5873143",0
"469","COPD","GSM5873144",42
"470","Normal","GSM5873144",0
"471","COPD","GSM5873145",256
"472","Normal","GSM5873145",0
"473","COPD","GSM5873146",224
"474","Normal","GSM5873146",0
"475","COPD","GSM7103257",0
"476","Normal","GSM7103257",7
"477","COPD","GSM7103264",0
"478","Normal","GSM7103264",19
"479","COPD","GSM7103271",0
"480","Normal","GSM7103271",7
"481","COPD","GSM7103275",0
"482","Normal","GSM7103275",31
"483","COPD","GSM7103276",0
"484","Normal","GSM7103276",67
"485","COPD","GSM7103277",0
"486","Normal","GSM7103277",60
"487","COPD","GSM7103278",0
"488","Normal","GSM7103278",43
"489","COPD","GSM7103279",0
"490","Normal","GSM7103279",80
"491","COPD","GSM7103280",0
"492","Normal","GSM7103280",72
"493","COPD","GSM7103281",0
"494","Normal","GSM7103281",10
"495","COPD","GSM7103282",0
"496","Normal","GSM7103282",144
"497","COPD","GSM7103283",0
