"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DAB2IP",0.0087645620792092,0.656705623058518,0.382,0.196,1,"COPD","DAB2IP"
"GDI2",0.00876597832759025,0.51391494920636,0.64,0.402,1,"COPD","GDI2"
"SSX2IP",0.00877874683162783,0.442261031240317,0.236,0.088,1,"COPD","SSX2IP"
"NDUFV2",0.00878867675536537,0.891623228038486,0.64,0.451,1,"COPD","NDUFV2"
"DYNLT3",0.00880823201028416,0.476408018595338,0.348,0.167,1,"COPD","DYNLT3"
"CEP290",0.00887469789259498,0.148429732946359,0.371,0.176,1,"COPD","CEP290"
"ZNF761",0.00890557823511049,0.82899396281968,0.135,0.029,1,"COPD","ZNF761"
"EIF3E",0.00890831627133719,0.601335907314791,0.798,0.647,1,"COPD","EIF3E"
"DYNC1I2",0.00891937667162834,0.548880467862841,0.573,0.333,1,"COPD","DYNC1I2"
"RGS2",0.00892102694428856,0.642991593099996,0.281,0.118,1,"COPD","RGS2"
"SLFN13",0.00893683734406422,0.484667692825482,0.169,0.049,1,"COPD","SLFN13"
"MINPP1",0.00893708114185448,0.578038880475294,0.202,0.069,1,"COPD","MINPP1"
"PIK3R4",0.00895775695015837,1.15276130238943,0.236,0.098,1,"COPD","PIK3R4"
"TFDP1",0.00896881206144718,0.685629569625041,0.382,0.186,1,"COPD","TFDP1"
"FBN1",0.00900200896844656,1.38169444044747,0.157,0.049,1,"COPD","FBN1"
"DNPEP",0.00900983007079385,0.650165013351217,0.337,0.157,1,"COPD","DNPEP"
"ZNF202",0.00903086542051331,0.878911423151967,0.112,0.02,1,"COPD","ZNF202"
"NCKIPSD",0.00903086542051331,0.470509867662886,0.112,0.02,1,"COPD","NCKIPSD"
"COL18A1",0.00904864331447478,1.0580490354273,0.281,0.127,1,"COPD","COL18A1"
"RAB29",0.00905335829672663,1.27476869002066,0.135,0.029,1,"COPD","RAB29"
"WIPI2",0.0090587993865394,0.2923994306359,0.416,0.206,1,"COPD","WIPI2"
"EIF1AX",0.00905955507031918,0.28856687411124,0.685,0.52,1,"COPD","EIF1AX"
"DPM3",0.00906170767755978,0.455548053273127,0.472,0.255,1,"COPD","DPM3"
"PCIF1",0.00906310915495349,0.522280511366435,0.27,0.108,1,"COPD","PCIF1"
"FAM76A",0.00906547456102752,1.27790084774121,0.236,0.098,1,"COPD","FAM76A"
"FAHD2B",0.00906684565544921,0.919636607766939,0.169,0.049,1,"COPD","FAHD2B"
"C1orf198",0.00906684565544921,0.720528982538796,0.169,0.049,1,"COPD","C1orf198"
"RGL2",0.00907871211132235,0.813082598106207,0.348,0.167,1,"COPD","RGL2"
"TNNI2",0.00910402917506137,0.883758842442988,0.236,0.088,1,"COPD","TNNI2"
"MRPL24",0.00914258264199139,1.12431837842967,0.337,0.167,1,"COPD","MRPL24"
"SZRD1",0.00914484670155124,0.478286842327357,0.382,0.186,1,"COPD","SZRD1"
"MAP3K11",0.00916666117999219,0.142016448842828,0.27,0.108,1,"COPD","MAP3K11"
"ARMC5",0.00919695436177999,1.34478108128259,0.112,0.02,1,"COPD","ARMC5"
"FAM114A2",0.00919695436177999,1.11062967732741,0.112,0.02,1,"COPD","FAM114A2"
"THAP6",0.00919853993168154,0.466784892222956,0.169,0.049,1,"COPD","THAP6"
"VPS16",0.00919853993168154,0.450130731505005,0.169,0.049,1,"COPD","VPS16"
"SVBP",0.00923991641684186,0.682713660015524,0.258,0.108,1,"COPD","SVBP"
"SNRPB",0.00924017983833193,0.688640422341883,0.697,0.461,1,"COPD","SNRPB"
"YBX3",0.00924868330268844,0.38188748595209,0.809,0.676,1,"COPD","YBX3"
"MED30",0.00925094121223127,0.0369416068513311,0.303,0.127,1,"COPD","MED30"
"HMGB2",0.00928242864561396,1.08340658781157,0.416,0.216,1,"COPD","HMGB2"
"DENND4B",0.00929460086879774,1.12299401215488,0.18,0.059,1,"COPD","DENND4B"
"POLDIP3",0.0093089306389811,0.681380501468981,0.292,0.127,1,"COPD","POLDIP3"
"TRIP11",0.00931331332496093,0.646783113011893,0.517,0.284,1,"COPD","TRIP11"
"EPPK1",0.00932960158292474,0.622290377944124,0.337,0.167,1,"COPD","EPPK1"
"SF3B4",0.00936447530309848,1.49264635102291,0.315,0.157,1,"COPD","SF3B4"
"AIF1L",0.00936576420663608,0.893897956739753,0.112,0.02,1,"COPD","AIF1L"
"OARD1",0.00936922335887916,0.524650330078447,0.371,0.196,1,"COPD","OARD1"
"YME1L1",0.0094082266918734,0.675864085024824,0.663,0.412,1,"COPD","YME1L1"
"GRK6",0.00941667244406599,0.0196549476854777,0.202,0.069,1,"COPD","GRK6"
"LANCL1",0.00942363947751166,0.918812570055966,0.18,0.059,1,"COPD","LANCL1"
"ARID1A",0.00942487302807458,0.527674812775519,0.517,0.304,1,"COPD","ARID1A"
"EIF4E2",0.00944266092348341,0.465276073295022,0.382,0.176,1,"COPD","EIF4E2"
"SLC35A3",0.00946365551490323,0.507688588225771,0.449,0.245,1,"COPD","SLC35A3"
"PTCD3",0.00946796114775049,0.535384825777228,0.382,0.196,1,"COPD","PTCD3"
"TIMM9",0.00947830088918037,0.714615127231067,0.326,0.157,1,"COPD","TIMM9"
"MOB1A",0.00949456468232587,0.299155858328693,0.472,0.265,1,"COPD","MOB1A"
"DDX1",0.00949473333710947,1.01613636957789,0.393,0.225,1,"COPD","DDX1"
"CX3CL1",0.00950009003134558,0.599998245854498,0.416,0.225,1,"COPD","CX3CL1"
"KLF4",0.0095077271149167,0.494956879437601,0.573,0.343,1,"COPD","KLF4"
"CEP104",0.00951306047791675,0.568710218583103,0.292,0.127,1,"COPD","CEP104"
"CP",0.00952002628853469,0.803358418998918,0.337,0.167,1,"COPD","CP"
"VILL",0.00952740407871696,0.633425186092439,0.303,0.137,1,"COPD","VILL"
"EXOC8",0.00953733285175763,0.998103343211366,0.112,0.02,1,"COPD","EXOC8"
"ZNF253",0.00953733285175763,0.942745510510111,0.112,0.02,1,"COPD","ZNF253"
"CYP4V2",0.00954010136853396,0.340403772522833,0.202,0.069,1,"COPD","CYP4V2"
"WNT4",0.00954998706331894,0.674101500523222,0.247,0.098,1,"COPD","WNT4"
"PTBP1",0.00955152089856466,0.485365273825611,0.528,0.324,1,"COPD","PTBP1"
"GOT1",0.00955395790390788,0.861098039571215,0.36,0.186,1,"COPD","GOT1"
"SELENOF",0.00958739692675025,0.677658373839335,0.618,0.402,1,"COPD","SELENOF"
"VPS52",0.00960392545160355,0.510330837919962,0.169,0.049,1,"COPD","VPS52"
"CIC",0.00963422852522006,1.07024596961167,0.225,0.088,1,"COPD","CIC"
"RNF185",0.00965679629692844,0.468247653204914,0.303,0.127,1,"COPD","RNF185"
"RFX5",0.00966661146895268,0.172427645116318,0.135,0.029,1,"COPD","RFX5"
"ADCK5",0.00966661146895268,0.167817399139195,0.135,0.029,1,"COPD","ADCK5"
"MTCH1",0.00970038160607952,0.530553341954594,0.64,0.441,1,"COPD","MTCH1"
"FMO3",0.00971169859665236,1.23788274970078,0.112,0.02,1,"COPD","FMO3"
"CHST10",0.00971169859665236,0.807827870469215,0.112,0.02,1,"COPD","CHST10"
"EDRF1",0.00971169859665236,0.528725931299561,0.112,0.02,1,"COPD","EDRF1"
"UQCRH",0.009714914896573,0.540736420155937,0.798,0.667,1,"COPD","UQCRH"
"AMMECR1L",0.00974255127819365,0.915034257392301,0.169,0.049,1,"COPD","AMMECR1L"
"CXCL16",0.00975640182038629,0.40542065781441,0.427,0.225,1,"COPD","CXCL16"
"TNS2",0.00979129539140892,0.617528615758663,0.202,0.069,1,"COPD","TNS2"
"SNAPC1",0.00988433587490148,0.825398579292256,0.315,0.147,1,"COPD","SNAPC1"
"C6orf47",0.00988890014572676,0.784816894414159,0.112,0.02,1,"COPD","C6orf47"
"LINC00893",0.00988890014572676,0.533114234073953,0.112,0.02,1,"COPD","LINC00893"
"NAT10",0.00989802502935184,0.688693726238974,0.213,0.078,1,"COPD","NAT10"
"CREB1",0.00990018328237142,0.68165461449219,0.449,0.245,1,"COPD","CREB1"
"TMED4",0.00991227649287143,0.864633848260798,0.584,0.353,1,"COPD","TMED4"
"WTAP",0.00994109214827111,0.467166985455208,0.618,0.363,1,"COPD","WTAP"
"SEC11C",0.00994927991104731,0.622427736856951,0.404,0.216,1,"COPD","SEC11C"
"DUSP7",0.00995591810539841,1.05192186170394,0.18,0.059,1,"COPD","DUSP7"
"EIF4B",0.00996376199541182,0.404828485859417,0.708,0.549,1,"COPD","EIF4B"
"STRN4",0.0099653741874792,0.527713139015966,0.281,0.118,1,"COPD","STRN4"
"TAB3",0.00997216307676905,0.781555331544885,0.191,0.069,1,"COPD","TAB3"
"YEATS4",0.00999272480499456,0.870265038564233,0.225,0.088,1,"COPD","YEATS4"
