"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BRWD3",0.0163675401062774,0.727336605534083,0.1,0.068,1,"Normal","BRWD3"
"ATF2",0.0163968158376009,0.396563722348298,0.226,0.181,1,"Normal","ATF2"
"CTNNB1",0.0164698196067838,0.213956488639859,0.411,0.352,1,"Normal","CTNNB1"
"UBE2K",0.0164833514555446,0.19865999067014,0.427,0.355,1,"Normal","UBE2K"
"MRPL36",0.0165286952206468,0.302406325525296,0.103,0.069,1,"Normal","MRPL36"
"RYBP",0.0165476520570715,0.316020666916782,0.263,0.215,1,"Normal","RYBP"
"FAM135A",0.0166136772129321,0.45024325433683,0.108,0.074,1,"Normal","FAM135A"
"PCDH9",0.0167117423518842,0.581509747303035,0.115,0.08,1,"Normal","PCDH9"
"GOLGA3",0.0167871225469791,0.261401219283627,0.158,0.116,1,"Normal","GOLGA3"
"HIF1A",0.0168799624872667,0.242307821128256,0.46,0.407,1,"Normal","HIF1A"
"DARS1",0.0168805787900361,0.367088275203069,0.192,0.147,1,"Normal","DARS1"
"SPTLC2",0.0169019961394912,0.485457169772835,0.15,0.111,1,"Normal","SPTLC2"
"TRIM5",0.0170108150787181,0.46991637615298,0.165,0.123,1,"Normal","TRIM5"
"FARP2",0.0171148816447419,0.30281312530699,0.363,0.306,1,"Normal","FARP2"
"L3MBTL3",0.0171879116755768,0.527092782284282,0.14,0.103,1,"Normal","L3MBTL3"
"SMG1P3",0.01721735280854,0.197173703380516,0.424,0.355,1,"Normal","SMG1P3"
"KIAA0319L",0.0172812948489156,0.589119616444451,0.116,0.082,1,"Normal","KIAA0319L"
"FNDC3A",0.0172927567840339,0.26556451684012,0.352,0.294,1,"Normal","FNDC3A"
"TP53BP1",0.017332592338358,0.415721510560738,0.14,0.101,1,"Normal","TP53BP1"
"DPM3",0.0174138286068183,0.397139690710998,0.152,0.111,1,"Normal","DPM3"
"KAT6B",0.0174746902428284,0.280513657960114,0.31,0.254,1,"Normal","KAT6B"
"BORCS5",0.0177828426473623,0.184113863134552,0.452,0.375,1,"Normal","BORCS5"
"SLC35F5",0.0178409917562972,0.482601378850526,0.121,0.086,1,"Normal","SLC35F5"
"RPL28P5",0.0178753890706734,0.44155991617652,0.102,0.069,1,"Normal","RPL28P5"
"PDK3",0.0180030922369393,0.422597021116814,0.147,0.107,1,"Normal","PDK3"
"PPP2R5A",0.0180493869612969,0.406741867589438,0.152,0.112,1,"Normal","PPP2R5A"
"FGD4",0.0180731730074924,0.458372681816171,0.152,0.113,1,"Normal","FGD4"
"CLIP4",0.0181317991949831,0.393449189193197,0.118,0.082,1,"Normal","CLIP4"
"BET1",0.0181463311187599,0.377294416802201,0.111,0.077,1,"Normal","BET1"
"MAP3K14",0.0181780151627694,0.528704663451789,0.106,0.074,1,"Normal","MAP3K14"
