"","gender","accession","counts"
"373","F","GSM4058937",65
"374","M","GSM4058937",0
"375","unknown","GSM4058937",0
"376","F","GSM4058938",0
"377","M","GSM4058938",57
"378","unknown","GSM4058938",0
"379","F","GSM4058939",112
"380","M","GSM4058939",0
"381","unknown","GSM4058939",0
"382","F","GSM4058940",149
"383","M","GSM4058940",0
"384","unknown","GSM4058940",0
"385","F","GSM4058941",0
"386","M","GSM4058941",47
"387","unknown","GSM4058941",0
"388","F","GSM4058942",0
"389","M","GSM4058942",16
"390","unknown","GSM4058942",0
"391","F","GSM4058947",0
"392","M","GSM4058947",66
"393","unknown","GSM4058947",0
"394","F","GSM4058949",0
"395","M","GSM4058949",116
"396","unknown","GSM4058949",0
"397","F","GSM4058953",0
"398","M","GSM4058953",182
"399","unknown","GSM4058953",0
"400","F","GSM4058956",0
"401","M","GSM4058956",81
"402","unknown","GSM4058956",0
"403","F","GSM4058957",118
"404","M","GSM4058957",0
"405","unknown","GSM4058957",0
"406","F","GSM4058962",0
"407","M","GSM4058962",87
"408","unknown","GSM4058962",0
"409","F","GSM4058963",0
"410","M","GSM4058963",7
"411","unknown","GSM4058963",0
"412","F","GSM4058971",0
"413","M","GSM4058971",114
"414","unknown","GSM4058971",0
"415","F","GSM4058973",0
"416","M","GSM4058973",37
"417","unknown","GSM4058973",0
"418","F","GSM4058975",0
"419","M","GSM4058975",103
"420","unknown","GSM4058975",0
"421","F","GSM4058976",0
"422","M","GSM4058976",45
"423","unknown","GSM4058976",0
"424","F","GSM4058977",0
"425","M","GSM4058977",206
"426","unknown","GSM4058977",0
"427","F","GSM4065876",0
"428","M","GSM4065876",8
"429","unknown","GSM4065876",0
"430","F","GSM4065877",0
"431","M","GSM4065877",9
"432","unknown","GSM4065877",0
"433","F","GSM4065878",0
"434","M","GSM4065878",30
"435","unknown","GSM4065878",0
"436","F","GSM4065879",0
"437","M","GSM4065879",22
"438","unknown","GSM4065879",0
"439","F","GSM4143262",0
"440","M","GSM4143262",0
"441","unknown","GSM4143262",142
"442","F","GSM4143263",0
"443","M","GSM4143263",0
