"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1118","WWP2",1.43597286157622e-07,0.619795587413032,0.48,0.388,0.0131492034934534,"Normal","WWP2","Ciliated"
"1119","SLC66A3",1.44521057090375e-07,0.944734359017505,0.22,0.119,0.0132337931977656,"Normal","SLC66A3","Ciliated"
"1120","LOC101927060",1.44698858291784e-07,1.07837566951984,0.184,0.091,0.0132500744537786,"Normal","LOC101927060","Ciliated"
"1121","COMMD10",1.45890911427497e-07,0.76803506497839,0.352,0.236,0.0133592307594159,"Normal","COMMD10","Ciliated"
"1122","RIN3",1.47455957944092e-07,1.19058083905076,0.179,0.088,0.0135025420689405,"Normal","RIN3","Ciliated"
"1123","LRCH3",1.6026933855705e-07,0.687141760921039,0.441,0.33,0.0146758633316691,"Normal","LRCH3","Ciliated"
"1124","WRN",1.61641716806188e-07,0.846093796183379,0.345,0.238,0.0148015320079426,"Normal","WRN","Ciliated"
"1126","PWWP3A",1.69434822636767e-07,0.954678168682836,0.209,0.11,0.0155151467088487,"Normal","PWWP3A","Ciliated"
"1127","CFAP206",1.6992582704104e-07,0.438907427027304,0.642,0.593,0.015560107982148,"Normal","CFAP206","Ciliated"
"1129","GALNT7",1.73108072986403e-07,0.991392609824987,0.271,0.165,0.0158515062433649,"Normal","GALNT7","Ciliated"
"1130","ABITRAM",1.81353086104206e-07,0.920460765696917,0.239,0.134,0.0166065020945621,"Normal","ABITRAM","Ciliated"
"1131","SH3RF3",1.82683927016185e-07,0.998829798961008,0.317,0.213,0.0167283671968721,"Normal","SH3RF3","Ciliated"
"1132","PPP1CB",1.83265027901862e-07,0.251722413346708,0.832,0.781,0.0167815786049735,"Normal","PPP1CB","Ciliated"
"1133","TTC21A",1.87335885641379e-07,0.490120113728094,0.626,0.557,0.0171543470481811,"Normal","TTC21A","Ciliated"
"1134","GRAMD2A",1.89882237400796e-07,1.16494817481957,0.285,0.184,0.0173875164787909,"Normal","GRAMD2A","Ciliated"
"1135","HHAT",1.97665536821884e-07,0.652923527276126,0.45,0.338,0.01810023320678,"Normal","HHAT","Ciliated"
"1137","USP32",2.11589668168989e-07,0.802769252440863,0.33,0.219,0.0193752659142343,"Normal","USP32","Ciliated"
"1138","USP45",2.11802265758754e-07,0.994807902378708,0.309,0.204,0.0193947334755291,"Normal","USP45","Ciliated"
"1140","ARL17B",2.1609498377628e-07,0.593698092217557,0.466,0.329,0.019787817664394,"Normal","ARL17B","Ciliated"
"1141","ASXL1",2.19025146010459e-07,0.589505154543358,0.518,0.414,0.0200561326201777,"Normal","ASXL1","Ciliated"
"1142","MRPL53",2.21354204680612e-07,0.633233821412799,0.426,0.323,0.0202694045226036,"Normal","MRPL53","Ciliated"
"1143","GPBP1",2.28576085272609e-07,0.326661020047956,0.699,0.631,0.0209307121284128,"Normal","GPBP1","Ciliated"
"1144","LRRC9",2.29748789110352e-07,0.985048824644706,0.233,0.131,0.0210380966188349,"Normal","LRRC9","Ciliated"
"1146","CRADD",2.32166838815453e-07,0.70015776487201,0.49,0.393,0.021259517430331,"Normal","CRADD","Ciliated"
"1147","TULP4",2.33081871105314e-07,0.649853678829006,0.488,0.388,0.0213433069371136,"Normal","TULP4","Ciliated"
"1148","TMEM65",2.3744073873336e-07,0.87449234180817,0.307,0.202,0.0217424484458138,"Normal","TMEM65","Ciliated"
"1149","SGK1",2.42798281635541e-07,0.619006095715755,0.499,0.389,0.0222330386493665,"Normal","SGK1","Ciliated"
"1150","TENT4B",2.47512188260373e-07,0.834098770092969,0.368,0.261,0.0226646910790024,"Normal","TENT4B","Ciliated"
"1151","FAM227B",2.48891426339127e-07,0.824894393954542,0.376,0.274,0.0227909879098739,"Normal","FAM227B","Ciliated"
"1152","SCAPER",2.53647675560221e-07,0.875061505342381,0.345,0.239,0.0232265176510494,"Normal","SCAPER","Ciliated"
"1154","SPDYE21",2.57880585944181e-07,0.818566849375747,0.26,0.154,0.0236141252549087,"Normal","SPDYE21","Ciliated"
"1155","FRMD4A",2.63700885925973e-07,0.936689936895807,0.193,0.1,0.0241470901242413,"Normal","FRMD4A","Ciliated"
"1156","TFCP2",2.63946449101374e-07,0.795104276918764,0.418,0.321,0.0241695763442128,"Normal","TFCP2","Ciliated"
"1157","NEK1",2.64152624433337e-07,0.459390072515567,0.651,0.603,0.0241884558193607,"Normal","NEK1","Ciliated"
"1158","TLE5",2.6541992479258e-07,0.765028262913733,0.265,0.156,0.0243045025132565,"Normal","TLE5","Ciliated"
"1159","RIN2",2.68527477044979e-07,0.593717656658165,0.499,0.399,0.0245890610730087,"Normal","RIN2","Ciliated"
"1160","TAFA2",2.79110779798642e-07,1.03026967198508,0.225,0.125,0.0255581741061617,"Normal","TAFA2","Ciliated"
"1161","KIF27",2.79488570404846e-07,0.542254625059817,0.571,0.485,0.0255927683919717,"Normal","KIF27","Ciliated"
